slug,question,outcomes,volume,startDate,endDate,clobTokenIds
us-recession-in-2025,US recession in 2025?,"[""Yes"", ""No""]",11734512.428529,2025-01-08T01:33:54.924Z,2026-02-28T12:00:00Z,"['104173557214744537570424345347209544585775842950109756851652855913015295701992', '44528029102356085806317866371026691780796471200782980570839327755136990994869']"
will-gta-6-cost-100,Will GTA 6 cost $100+?,"[""Yes"", ""No""]",8069448.520812,2025-03-06T20:51:01.626726Z,2026-02-28T12:00:00Z,"['28946595841244317705636126646676849578876740730186646421280828201004700559420', '42278252558046940014991595990628759801692726198478046188873057685686228021663']"
will-the-us-collect-between-500b-and-1t-in-revenue-in-2025,Will the U.S. collect between $500b and $1t in revenue in 2025?,"[""Yes"", ""No""]",2670720.815553,2025-04-15T22:24:07.509458Z,2026-02-28T12:00:00Z,"['14642427631762357507939608294887050551300827907746951519205602696553287464979', '107108677406570769174644732556082858255108204503861334566787299375848455720534']"
will-the-us-collect-less-than-100b-in-revenue-in-2025,Will the U.S. collect less than $100b in revenue in 2025?,"[""Yes"", ""No""]",2306901.687602,2025-04-15T22:23:02.177852Z,2026-02-28T12:00:00Z,"['82901799715930045311809212542225092826839455972178920747166234033810084508110', '2067891916326150127826753884863730268931932594834881748788499812590988545417']"
will-the-us-collect-between-100b-and-200b-in-revenue-in-2025,Will the U.S. collect between $100b and $200b in revenue in 2025?,"[""Yes"", ""No""]",1736956.771538,2025-04-15T22:23:23.737338Z,2026-02-28T12:00:00Z,"['56943889421369223313864561268386407584816988844238380390936659020238520433523', '29795694034265723490033787182308468787841029434655005675103532957362215624118']"
will-tariffs-generate-250b-in-2025,Will tariffs generate >$250b in 2025?,"[""Yes"", ""No""]",1412916.482597,2025-04-15T22:17:42.099593Z,2026-02-28T12:00:00Z,"['7935869750973568991063634796432742901043529564448603464914559127943627115874', '40635745065483171354210492699079862696789237657248181561502664751201684944045']"
will-iphone-17-cost-1000-or-more,"Will iPhone 17 cost $1,000 or more? ","[""Yes"", ""No""]",1326859.185002,2025-04-08T19:34:51.658Z,2026-02-28T12:00:00Z,"['104318533792443241043987622529010971833582492186326943439864237179391386420174', '101490910324419498943088475882770438958646726698823824666989731741590719841050']"
will-the-us-collect-between-200b-and-500b-in-revenue-in-2025,Will the U.S. collect between $200b and $500b in revenue in 2025?,"[""Yes"", ""No""]",1116195.450108,2025-04-15T22:23:51.621015Z,2026-02-28T12:00:00Z,"['19180751334892649957685662514970856594118361572000181281162861811532650604260', '50221315964000194764695024582522009520159992363520263771661265416131198909217']"
will-iphone-17-cost-1500-or-more,"Will iPhone 17 cost $1,500 or more? ","[""Yes"", ""No""]",955140.464156,2025-04-08T22:09:23.107213Z,2026-02-28T12:00:00Z,"['87866870766967658396441321587621921880442240880375201390952268852059651796661', '9813886900077072427390226339062250811262999954892875580012851562200988440109']"
bitboy-convicted,BitBoy convicted?,"[""Yes"", ""No""]",836621.5937519977,2025-03-26T16:49:31.084Z,2026-03-31T12:00:00Z,"['75467129615908319583031474642658885479135630431889036121812713428992454630178', '3842963720267267286970642336860752782302644680156535061700039388405652129691']"
will-trump-elon-reduce-the-deficit-in-2025,Will Trump & Elon reduce the deficit in 2025? ,"[""Yes"", ""No""]",238998.788494,2025-01-31T22:05:00.243Z,2026-02-28T12:00:00Z,"[""56738600572035832904895845056468792275697823297413384908752239327866518310010"", ""63773739594775606083258239254748928077067768053882704658119720069071630213026""]"
will-trump-win-the-2024-iowa-caucus,Will Trump win the 2024 Iowa Caucus?,"[""Yes"", ""No""]",94332.029358,2023-03-15T19:15:31.281Z,2024-02-05T00:00:00Z,"[""99797325193940650293777738007974137011774368519432515326551017491100470628467"", ""80387862900490852419047622729331661923122689291735249993941984595432716443874""]"
will-joe-biden-be-president-of-the-united-states-on-february-1-2024,"Will Joe Biden be President of the United States on February 1, 2024?","[""Yes"", ""No""]",250000.868572,2023-09-16T02:17:53.302Z,2024-02-01T00:00:00Z,"[""2640288220871975104014777201590982690518915343516812136046668101954677305223"", ""75219943957563045073987110590543044282977113598950136200092635769299346563727""]"
will-aaron-rodgers-play-again-this-season,Will Aaron Rodgers play again this season?,"[""Yes"", ""No""]",4757.232796,2023-09-21T20:57:38.839Z,2024-02-11T00:00:00Z,"[""77408717769992449843820200854917243296532085702934938467819321939898311730509"", ""95425649319830887325107904151938248887542434708091305238126332864512723269009""]"
will-james-harden-be-traded,Will James Harden be traded?,"[""Yes"", ""No""]",1774.798045,2023-10-04T21:47:17.643Z,2024-02-08T00:00:00Z,"[""82130668509038577308082042324933324928255672581436911232621294172112248449519"", ""93081649513008189600268458328553391383858150225143933606107673106845895628299""]"
will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?","[""Yes"", ""No""]",116794.762702,2023-10-12T16:43:31.547Z,2024-01-31T00:00:00Z,"[""54381191852657597827178784272196264743763950412202446487750968931721843279899"", ""84283308108427137146819131238489422272331767498690240705638089380807598159033""]"
