date,price,slug,question
2023-12-12 00:00:00+00:00,0.175,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-13 00:00:00+00:00,0.135,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-14 00:00:00+00:00,0.11,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-15 00:00:00+00:00,0.11,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-16 00:00:00+00:00,0.085,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-17 00:00:00+00:00,0.55,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-18 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-19 00:00:00+00:00,0.55,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-20 00:00:00+00:00,0.55,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-21 00:00:00+00:00,0.14,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-22 00:00:00+00:00,0.145,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-23 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-24 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-25 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-26 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-27 00:00:00+00:00,0.51,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-28 00:00:00+00:00,0.51,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-29 00:00:00+00:00,0.125,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-30 00:00:00+00:00,0.125,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2023-12-31 00:00:00+00:00,0.125,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-01 00:00:00+00:00,0.125,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-02 00:00:00+00:00,0.125,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-03 00:00:00+00:00,0.14,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-04 00:00:00+00:00,0.14,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-05 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-06 00:00:00+00:00,0.505,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-07 00:00:00+00:00,0.555,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-08 00:00:00+00:00,0.555,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-09 00:00:00+00:00,0.555,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-10 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-11 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-12 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-13 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-14 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-15 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-16 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-17 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
2024-01-18 00:00:00+00:00,0.545,another-celestia-airdrop-by-march-1,Another Celestia airdrop by March 1?
