date,price,slug,question
2023-12-14 00:00:00+00:00,0.56,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-15 00:00:00+00:00,0.58,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-16 00:00:00+00:00,0.595,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-17 00:00:00+00:00,0.6,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-18 00:00:00+00:00,0.64,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-19 00:00:00+00:00,0.705,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-20 00:00:00+00:00,0.715,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-21 00:00:00+00:00,0.775,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-22 00:00:00+00:00,0.775,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-23 00:00:00+00:00,0.73,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-24 00:00:00+00:00,0.64,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-25 00:00:00+00:00,0.605,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-26 00:00:00+00:00,0.605,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-27 00:00:00+00:00,0.695,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-28 00:00:00+00:00,0.705,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-29 00:00:00+00:00,0.71,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-30 00:00:00+00:00,0.67,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2023-12-31 00:00:00+00:00,0.595,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-01 00:00:00+00:00,0.585,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-02 00:00:00+00:00,0.55,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-03 00:00:00+00:00,0.49,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-04 00:00:00+00:00,0.33,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-05 00:00:00+00:00,0.365,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-06 00:00:00+00:00,0.41,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-07 00:00:00+00:00,0.515,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-08 00:00:00+00:00,0.355,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-09 00:00:00+00:00,0.345,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-10 00:00:00+00:00,0.4,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
2024-01-11 00:00:00+00:00,0.4,another-israel-x-hamas-ceasefire-before-february,Another Israel x Hamas ceasefire before February?
