date,price,slug,question
2023-12-28 00:00:00+00:00,0.405,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2023-12-29 00:00:00+00:00,0.395,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2023-12-30 00:00:00+00:00,0.355,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2023-12-31 00:00:00+00:00,0.3,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-01 00:00:00+00:00,0.305,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-02 00:00:00+00:00,0.245,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-03 00:00:00+00:00,0.205,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-04 00:00:00+00:00,0.125,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-05 00:00:00+00:00,0.125,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-06 00:00:00+00:00,0.11,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-07 00:00:00+00:00,0.08,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-08 00:00:00+00:00,0.065,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-09 00:00:00+00:00,0.065,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-10 00:00:00+00:00,0.055,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-11 00:00:00+00:00,0.055,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-12 00:00:00+00:00,0.0335,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-13 00:00:00+00:00,0.0225,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-14 00:00:00+00:00,0.023,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-15 00:00:00+00:00,0.0045,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
2024-01-16 00:00:00+00:00,0.004,another-israel-x-hamas-ceasefire-by-jan-15,Another Israel x Hamas ceasefire by Jan 15?
