date,price,slug,question
2024-01-03 00:00:00+00:00,0.615,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-04 00:00:00+00:00,0.56,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-05 00:00:00+00:00,0.62,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-06 00:00:00+00:00,0.66,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-07 00:00:00+00:00,0.655,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-08 00:00:00+00:00,0.47,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-09 00:00:00+00:00,0.47,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-10 00:00:00+00:00,0.435,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-11 00:00:00+00:00,0.565,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-12 00:00:00+00:00,0.505,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-13 00:00:00+00:00,0.52,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-14 00:00:00+00:00,0.36,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-15 00:00:00+00:00,0.36,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-16 00:00:00+00:00,0.36,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-17 00:00:00+00:00,0.36,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-18 00:00:00+00:00,0.36,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-19 00:00:00+00:00,0.275,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-20 00:00:00+00:00,0.275,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-21 00:00:00+00:00,0.28,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-22 00:00:00+00:00,0.27,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-23 00:00:00+00:00,0.25,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-24 00:00:00+00:00,0.23,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-25 00:00:00+00:00,0.555,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-26 00:00:00+00:00,0.555,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-27 00:00:00+00:00,0.295,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-28 00:00:00+00:00,0.16,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-29 00:00:00+00:00,0.13,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-30 00:00:00+00:00,0.13,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-01-31 00:00:00+00:00,0.13,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-01 00:00:00+00:00,0.095,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-02 00:00:00+00:00,0.11,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-03 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-04 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-05 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-06 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-07 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-08 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-09 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-10 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-11 00:00:00+00:00,0.24,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-12 00:00:00+00:00,0.505,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-13 00:00:00+00:00,0.55,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-14 00:00:00+00:00,0.545,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-15 00:00:00+00:00,0.54,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-16 00:00:00+00:00,0.535,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-17 00:00:00+00:00,0.535,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-18 00:00:00+00:00,0.535,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-19 00:00:00+00:00,0.535,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-20 00:00:00+00:00,0.3,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-21 00:00:00+00:00,0.275,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-22 00:00:00+00:00,0.525,any-hamas-leader-out-in-january,Any Hamas leader out in January?
2024-02-23 00:00:00+00:00,0.525,any-hamas-leader-out-in-january,Any Hamas leader out in January?
