date,price,slug,question
2023-12-13 00:00:00+00:00,0.795,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-14 00:00:00+00:00,0.8,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-15 00:00:00+00:00,0.905,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-16 00:00:00+00:00,0.91,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-17 00:00:00+00:00,0.935,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-18 00:00:00+00:00,0.83,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-19 00:00:00+00:00,0.835,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-20 00:00:00+00:00,0.84,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-21 00:00:00+00:00,0.91,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-22 00:00:00+00:00,0.855,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-23 00:00:00+00:00,0.855,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-24 00:00:00+00:00,0.855,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-25 00:00:00+00:00,0.855,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-26 00:00:00+00:00,0.855,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-27 00:00:00+00:00,0.855,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-28 00:00:00+00:00,0.885,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-29 00:00:00+00:00,0.885,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-30 00:00:00+00:00,0.88,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2023-12-31 00:00:00+00:00,0.875,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-01 00:00:00+00:00,0.875,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-02 00:00:00+00:00,0.875,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-03 00:00:00+00:00,0.925,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-04 00:00:00+00:00,0.875,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-05 00:00:00+00:00,0.875,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-06 00:00:00+00:00,0.84,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-07 00:00:00+00:00,0.915,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-08 00:00:00+00:00,0.84,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-09 00:00:00+00:00,0.84,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-10 00:00:00+00:00,0.725,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-11 00:00:00+00:00,0.5,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-12 00:00:00+00:00,0.75,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-13 00:00:00+00:00,0.75,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-14 00:00:00+00:00,0.5,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
2024-01-15 00:00:00+00:00,0.775,arvalo-inaugurated-in-guatemala-in-january,Arévalo inaugurated in Guatemala in January?
