date,price,slug,question
2023-12-15 00:00:00+00:00,0.17,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-16 00:00:00+00:00,0.19,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-17 00:00:00+00:00,0.195,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-18 00:00:00+00:00,0.17,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-19 00:00:00+00:00,0.2,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-20 00:00:00+00:00,0.205,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-21 00:00:00+00:00,0.205,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-22 00:00:00+00:00,0.195,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-23 00:00:00+00:00,0.205,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-24 00:00:00+00:00,0.21,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-25 00:00:00+00:00,0.185,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-26 00:00:00+00:00,0.215,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-27 00:00:00+00:00,0.22,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-28 00:00:00+00:00,0.28,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-29 00:00:00+00:00,0.26,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-30 00:00:00+00:00,0.19,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2023-12-31 00:00:00+00:00,0.195,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-01 00:00:00+00:00,0.185,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-02 00:00:00+00:00,0.21,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-03 00:00:00+00:00,0.225,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-04 00:00:00+00:00,0.215,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-05 00:00:00+00:00,0.215,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-06 00:00:00+00:00,0.205,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-07 00:00:00+00:00,0.195,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-08 00:00:00+00:00,0.2,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-09 00:00:00+00:00,0.225,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-10 00:00:00+00:00,0.19,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-11 00:00:00+00:00,0.225,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-12 00:00:00+00:00,0.235,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-13 00:00:00+00:00,0.17,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-14 00:00:00+00:00,0.12,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-15 00:00:00+00:00,0.145,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-16 00:00:00+00:00,0.14,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-17 00:00:00+00:00,0.145,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-18 00:00:00+00:00,0.125,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-19 00:00:00+00:00,0.11,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
2024-01-20 00:00:00+00:00,0.125,bitcoin-all-time-high-by-mar-31,Bitcoin all time high by Mar 31?
