date,price,slug,question
2023-12-02 00:00:00+00:00,0.415,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-03 00:00:00+00:00,0.725,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-04 00:00:00+00:00,0.735,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-05 00:00:00+00:00,0.79,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-06 00:00:00+00:00,0.77,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-07 00:00:00+00:00,0.76,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-08 00:00:00+00:00,0.755,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-09 00:00:00+00:00,0.745,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-10 00:00:00+00:00,0.735,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-11 00:00:00+00:00,0.82,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-12 00:00:00+00:00,0.775,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-13 00:00:00+00:00,0.765,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-14 00:00:00+00:00,0.795,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-15 00:00:00+00:00,0.8,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-16 00:00:00+00:00,0.81,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-17 00:00:00+00:00,0.8,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-18 00:00:00+00:00,0.85,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-19 00:00:00+00:00,0.83,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-20 00:00:00+00:00,0.875,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-21 00:00:00+00:00,0.865,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-22 00:00:00+00:00,0.855,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-23 00:00:00+00:00,0.88,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-24 00:00:00+00:00,0.875,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-25 00:00:00+00:00,0.885,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-26 00:00:00+00:00,0.875,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-27 00:00:00+00:00,0.84,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-28 00:00:00+00:00,0.87,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-29 00:00:00+00:00,0.85,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-30 00:00:00+00:00,0.845,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2023-12-31 00:00:00+00:00,0.84,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-01 00:00:00+00:00,0.845,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-02 00:00:00+00:00,0.87,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-03 00:00:00+00:00,0.88,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-04 00:00:00+00:00,0.85,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-05 00:00:00+00:00,0.805,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-06 00:00:00+00:00,0.855,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-07 00:00:00+00:00,0.845,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-08 00:00:00+00:00,0.825,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-09 00:00:00+00:00,0.85,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
2024-01-10 00:00:00+00:00,0.85,bitcoin-etf-approved-by-jan-15,Bitcoin ETF approved by Jan 15?
