date,price,slug,question
2023-11-25 00:00:00+00:00,0.5,blast-airdrop-by-may,Blast airdrop by May?
2023-11-26 00:00:00+00:00,0.535,blast-airdrop-by-may,Blast airdrop by May?
2023-11-27 00:00:00+00:00,0.605,blast-airdrop-by-may,Blast airdrop by May?
2023-11-28 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-11-29 00:00:00+00:00,0.71,blast-airdrop-by-may,Blast airdrop by May?
2023-11-30 00:00:00+00:00,0.725,blast-airdrop-by-may,Blast airdrop by May?
2023-12-01 00:00:00+00:00,0.77,blast-airdrop-by-may,Blast airdrop by May?
2023-12-02 00:00:00+00:00,0.6,blast-airdrop-by-may,Blast airdrop by May?
2023-12-03 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-12-04 00:00:00+00:00,0.675,blast-airdrop-by-may,Blast airdrop by May?
2023-12-05 00:00:00+00:00,0.675,blast-airdrop-by-may,Blast airdrop by May?
2023-12-06 00:00:00+00:00,0.645,blast-airdrop-by-may,Blast airdrop by May?
2023-12-07 00:00:00+00:00,0.65,blast-airdrop-by-may,Blast airdrop by May?
2023-12-08 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-12-09 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-12-10 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-12-11 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-12-12 00:00:00+00:00,0.655,blast-airdrop-by-may,Blast airdrop by May?
2023-12-13 00:00:00+00:00,0.62,blast-airdrop-by-may,Blast airdrop by May?
2023-12-14 00:00:00+00:00,0.62,blast-airdrop-by-may,Blast airdrop by May?
2023-12-15 00:00:00+00:00,0.62,blast-airdrop-by-may,Blast airdrop by May?
2023-12-16 00:00:00+00:00,0.62,blast-airdrop-by-may,Blast airdrop by May?
2023-12-17 00:00:00+00:00,0.62,blast-airdrop-by-may,Blast airdrop by May?
2023-12-18 00:00:00+00:00,0.25,blast-airdrop-by-may,Blast airdrop by May?
2023-12-19 00:00:00+00:00,0.755,blast-airdrop-by-may,Blast airdrop by May?
