date,price,slug,question
2023-12-13 00:00:00+00:00,0.2,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-14 00:00:00+00:00,0.22,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-15 00:00:00+00:00,0.23,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-16 00:00:00+00:00,0.225,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-17 00:00:00+00:00,0.225,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-18 00:00:00+00:00,0.225,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-19 00:00:00+00:00,0.23,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-20 00:00:00+00:00,0.235,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-21 00:00:00+00:00,0.245,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-22 00:00:00+00:00,0.245,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-23 00:00:00+00:00,0.61,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-24 00:00:00+00:00,0.255,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-25 00:00:00+00:00,0.445,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-26 00:00:00+00:00,0.42,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-27 00:00:00+00:00,0.36,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-28 00:00:00+00:00,0.315,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-29 00:00:00+00:00,0.31,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-30 00:00:00+00:00,0.31,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2023-12-31 00:00:00+00:00,0.29,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2024-01-01 00:00:00+00:00,0.31,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2024-01-02 00:00:00+00:00,0.28,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2024-01-03 00:00:00+00:00,0.245,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
2024-01-04 00:00:00+00:00,0.245,ceasefire-between-russia-and-ukraine-by-june,Ceasefire between Russia and Ukraine by June 30?
