date,price,slug,question
2023-12-21 00:00:00+00:00,0.255,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-22 00:00:00+00:00,0.405,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-23 00:00:00+00:00,0.525,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-24 00:00:00+00:00,0.525,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-25 00:00:00+00:00,0.53,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-26 00:00:00+00:00,0.585,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-27 00:00:00+00:00,0.575,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-28 00:00:00+00:00,0.575,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-29 00:00:00+00:00,0.58,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-30 00:00:00+00:00,0.535,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2023-12-31 00:00:00+00:00,0.52,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2024-01-01 00:00:00+00:00,0.47,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
2024-01-02 00:00:00+00:00,0.435,claudine-gay-out-as-harvard-president-before-april,Claudine Gay out as Harvard President before April?
