date,price,slug,question
2023-12-29 00:00:00+00:00,0.225,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2023-12-30 00:00:00+00:00,0.245,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2023-12-31 00:00:00+00:00,0.255,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-01 00:00:00+00:00,0.18,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-02 00:00:00+00:00,0.15,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-03 00:00:00+00:00,0.145,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-04 00:00:00+00:00,0.115,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-05 00:00:00+00:00,0.115,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-06 00:00:00+00:00,0.07,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-07 00:00:00+00:00,0.075,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-08 00:00:00+00:00,0.07,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-09 00:00:00+00:00,0.07,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-10 00:00:00+00:00,0.48,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-11 00:00:00+00:00,0.45,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-12 00:00:00+00:00,0.45,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-13 00:00:00+00:00,0.2,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-14 00:00:00+00:00,0.075,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-15 00:00:00+00:00,0.19,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-16 00:00:00+00:00,0.18,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-17 00:00:00+00:00,0.18,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-18 00:00:00+00:00,0.095,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-19 00:00:00+00:00,0.09,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-20 00:00:00+00:00,0.09,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-21 00:00:00+00:00,0.09,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-22 00:00:00+00:00,0.09,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-23 00:00:00+00:00,0.055,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-24 00:00:00+00:00,0.075,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-25 00:00:00+00:00,0.055,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-26 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-27 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-28 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-29 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-30 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-01-31 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
2024-02-01 00:00:00+00:00,0.005,coinbase-a-top-100-app-before-feb,Coinbase a top 100 app before Feb?
