date,price,slug,question
2023-12-28 00:00:00+00:00,0.73,cz-jail-before-march,CZ jail before March?
2023-12-29 00:00:00+00:00,0.565,cz-jail-before-march,CZ jail before March?
2023-12-30 00:00:00+00:00,0.475,cz-jail-before-march,CZ jail before March?
2023-12-31 00:00:00+00:00,0.59,cz-jail-before-march,CZ jail before March?
2024-01-01 00:00:00+00:00,0.595,cz-jail-before-march,CZ jail before March?
2024-01-02 00:00:00+00:00,0.595,cz-jail-before-march,CZ jail before March?
2024-01-03 00:00:00+00:00,0.595,cz-jail-before-march,CZ jail before March?
2024-01-04 00:00:00+00:00,0.525,cz-jail-before-march,CZ jail before March?
2024-01-05 00:00:00+00:00,0.52,cz-jail-before-march,CZ jail before March?
2024-01-06 00:00:00+00:00,0.455,cz-jail-before-march,CZ jail before March?
2024-01-07 00:00:00+00:00,0.495,cz-jail-before-march,CZ jail before March?
2024-01-08 00:00:00+00:00,0.515,cz-jail-before-march,CZ jail before March?
2024-01-09 00:00:00+00:00,0.505,cz-jail-before-march,CZ jail before March?
2024-01-10 00:00:00+00:00,0.485,cz-jail-before-march,CZ jail before March?
2024-01-11 00:00:00+00:00,0.475,cz-jail-before-march,CZ jail before March?
2024-01-12 00:00:00+00:00,0.445,cz-jail-before-march,CZ jail before March?
2024-01-13 00:00:00+00:00,0.44,cz-jail-before-march,CZ jail before March?
2024-01-14 00:00:00+00:00,0.435,cz-jail-before-march,CZ jail before March?
2024-01-15 00:00:00+00:00,0.42,cz-jail-before-march,CZ jail before March?
2024-01-16 00:00:00+00:00,0.435,cz-jail-before-march,CZ jail before March?
2024-01-17 00:00:00+00:00,0.45,cz-jail-before-march,CZ jail before March?
2024-01-18 00:00:00+00:00,0.45,cz-jail-before-march,CZ jail before March?
2024-01-19 00:00:00+00:00,0.37,cz-jail-before-march,CZ jail before March?
2024-01-20 00:00:00+00:00,0.435,cz-jail-before-march,CZ jail before March?
2024-01-21 00:00:00+00:00,0.475,cz-jail-before-march,CZ jail before March?
2024-01-22 00:00:00+00:00,0.465,cz-jail-before-march,CZ jail before March?
2024-01-23 00:00:00+00:00,0.435,cz-jail-before-march,CZ jail before March?
2024-01-24 00:00:00+00:00,0.45,cz-jail-before-march,CZ jail before March?
2024-01-25 00:00:00+00:00,0.415,cz-jail-before-march,CZ jail before March?
2024-01-26 00:00:00+00:00,0.415,cz-jail-before-march,CZ jail before March?
2024-01-27 00:00:00+00:00,0.415,cz-jail-before-march,CZ jail before March?
2024-01-28 00:00:00+00:00,0.39,cz-jail-before-march,CZ jail before March?
2024-01-29 00:00:00+00:00,0.385,cz-jail-before-march,CZ jail before March?
2024-01-30 00:00:00+00:00,0.395,cz-jail-before-march,CZ jail before March?
2024-01-31 00:00:00+00:00,0.395,cz-jail-before-march,CZ jail before March?
2024-02-01 00:00:00+00:00,0.395,cz-jail-before-march,CZ jail before March?
2024-02-02 00:00:00+00:00,0.395,cz-jail-before-march,CZ jail before March?
2024-02-03 00:00:00+00:00,0.385,cz-jail-before-march,CZ jail before March?
2024-02-04 00:00:00+00:00,0.34,cz-jail-before-march,CZ jail before March?
2024-02-05 00:00:00+00:00,0.37,cz-jail-before-march,CZ jail before March?
2024-02-06 00:00:00+00:00,0.395,cz-jail-before-march,CZ jail before March?
2024-02-07 00:00:00+00:00,0.425,cz-jail-before-march,CZ jail before March?
2024-02-08 00:00:00+00:00,0.42,cz-jail-before-march,CZ jail before March?
2024-02-09 00:00:00+00:00,0.415,cz-jail-before-march,CZ jail before March?
2024-02-10 00:00:00+00:00,0.365,cz-jail-before-march,CZ jail before March?
2024-02-11 00:00:00+00:00,0.4,cz-jail-before-march,CZ jail before March?
2024-02-12 00:00:00+00:00,0.395,cz-jail-before-march,CZ jail before March?
2024-02-13 00:00:00+00:00,0.365,cz-jail-before-march,CZ jail before March?
2024-02-14 00:00:00+00:00,0.0185,cz-jail-before-march,CZ jail before March?
2024-02-15 00:00:00+00:00,0.023,cz-jail-before-march,CZ jail before March?
2024-02-16 00:00:00+00:00,0.023,cz-jail-before-march,CZ jail before March?
2024-02-17 00:00:00+00:00,0.014,cz-jail-before-march,CZ jail before March?
2024-02-18 00:00:00+00:00,0.0105,cz-jail-before-march,CZ jail before March?
2024-02-19 00:00:00+00:00,0.0115,cz-jail-before-march,CZ jail before March?
2024-02-20 00:00:00+00:00,0.011,cz-jail-before-march,CZ jail before March?
2024-02-21 00:00:00+00:00,0.0095,cz-jail-before-march,CZ jail before March?
2024-02-22 00:00:00+00:00,0.0095,cz-jail-before-march,CZ jail before March?
2024-02-23 00:00:00+00:00,0.0095,cz-jail-before-march,CZ jail before March?
2024-02-24 00:00:00+00:00,0.011,cz-jail-before-march,CZ jail before March?
2024-02-25 00:00:00+00:00,0.006,cz-jail-before-march,CZ jail before March?
2024-02-26 00:00:00+00:00,0.0045,cz-jail-before-march,CZ jail before March?
2024-02-27 00:00:00+00:00,0.0035,cz-jail-before-march,CZ jail before March?
2024-02-28 00:00:00+00:00,0.0035,cz-jail-before-march,CZ jail before March?
2024-02-29 00:00:00+00:00,0.0025,cz-jail-before-march,CZ jail before March?
2024-03-01 00:00:00+00:00,0.002,cz-jail-before-march,CZ jail before March?
