date,price,slug,question
2023-12-12 00:00:00+00:00,0.23,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-13 00:00:00+00:00,0.2,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-14 00:00:00+00:00,0.11,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-15 00:00:00+00:00,0.1,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-16 00:00:00+00:00,0.095,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-17 00:00:00+00:00,0.095,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-18 00:00:00+00:00,0.075,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-19 00:00:00+00:00,0.075,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-20 00:00:00+00:00,0.065,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-21 00:00:00+00:00,0.095,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-22 00:00:00+00:00,0.135,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-23 00:00:00+00:00,0.455,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-24 00:00:00+00:00,0.455,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-25 00:00:00+00:00,0.455,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-26 00:00:00+00:00,0.255,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-27 00:00:00+00:00,0.255,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-28 00:00:00+00:00,0.255,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-29 00:00:00+00:00,0.26,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-30 00:00:00+00:00,0.26,drift-airdrop-by-march-1,Drift airdrop by March 1?
2023-12-31 00:00:00+00:00,0.085,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-01 00:00:00+00:00,0.08,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-02 00:00:00+00:00,0.25,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-03 00:00:00+00:00,0.215,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-04 00:00:00+00:00,0.215,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-05 00:00:00+00:00,0.225,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-06 00:00:00+00:00,0.27,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-07 00:00:00+00:00,0.425,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-08 00:00:00+00:00,0.43,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-09 00:00:00+00:00,0.43,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-10 00:00:00+00:00,0.495,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-11 00:00:00+00:00,0.495,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-12 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-13 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-14 00:00:00+00:00,0.0905,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-15 00:00:00+00:00,0.0695,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-16 00:00:00+00:00,0.0715,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-17 00:00:00+00:00,0.0705,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-18 00:00:00+00:00,0.0705,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-19 00:00:00+00:00,0.0725,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-20 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-21 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-22 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-23 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-24 00:00:00+00:00,0.45,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-25 00:00:00+00:00,0.3,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-26 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-27 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-28 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-29 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-30 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-01-31 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-01 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-02 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-03 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-04 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-05 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-06 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
2024-02-07 00:00:00+00:00,0.275,drift-airdrop-by-march-1,Drift airdrop by March 1?
