date,price,slug,question
2024-02-14 00:00:00+00:00,0.55,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-15 00:00:00+00:00,0.655,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-16 00:00:00+00:00,0.685,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-17 00:00:00+00:00,0.67,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-18 00:00:00+00:00,0.65,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-19 00:00:00+00:00,0.65,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-20 00:00:00+00:00,0.65,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-21 00:00:00+00:00,0.65,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-22 00:00:00+00:00,0.755,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-23 00:00:00+00:00,0.7,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-24 00:00:00+00:00,0.7,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-25 00:00:00+00:00,0.69,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-26 00:00:00+00:00,0.695,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-27 00:00:00+00:00,0.69,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-28 00:00:00+00:00,0.66,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-02-29 00:00:00+00:00,0.57,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-01 00:00:00+00:00,0.57,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-02 00:00:00+00:00,0.61,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-03 00:00:00+00:00,0.65,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-04 00:00:00+00:00,0.645,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-05 00:00:00+00:00,0.645,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-06 00:00:00+00:00,0.66,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-07 00:00:00+00:00,0.66,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-08 00:00:00+00:00,0.66,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-09 00:00:00+00:00,0.66,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-10 00:00:00+00:00,0.6,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-11 00:00:00+00:00,0.59,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-12 00:00:00+00:00,0.59,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-13 00:00:00+00:00,0.59,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-14 00:00:00+00:00,0.57,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-15 00:00:00+00:00,0.66,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-16 00:00:00+00:00,0.695,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-17 00:00:00+00:00,0.685,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-18 00:00:00+00:00,0.64,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-19 00:00:00+00:00,0.64,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-20 00:00:00+00:00,0.635,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-21 00:00:00+00:00,0.635,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-22 00:00:00+00:00,0.695,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-23 00:00:00+00:00,0.695,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-24 00:00:00+00:00,0.69,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-25 00:00:00+00:00,0.5,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-26 00:00:00+00:00,0.64,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-27 00:00:00+00:00,0.61,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
2024-03-28 00:00:00+00:00,0.605,eigenlayer-airdrop-by-june-30,EigenLayer airdrop by June 30?
