date,price,slug,question
2023-12-20 00:00:00+00:00,0.82,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-21 00:00:00+00:00,0.815,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-22 00:00:00+00:00,0.815,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-23 00:00:00+00:00,0.83,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-24 00:00:00+00:00,0.815,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-25 00:00:00+00:00,0.815,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-26 00:00:00+00:00,0.815,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-27 00:00:00+00:00,0.75,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-28 00:00:00+00:00,0.55,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-29 00:00:00+00:00,0.775,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-30 00:00:00+00:00,0.775,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2023-12-31 00:00:00+00:00,0.775,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2024-01-01 00:00:00+00:00,0.775,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2024-01-02 00:00:00+00:00,0.89,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2024-01-03 00:00:00+00:00,0.88,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
2024-01-04 00:00:00+00:00,0.84,epstein-documents-unsealed-by-jan-31,Epstein documents unsealed by Jan 31?
