date,price,slug,question
2024-02-18 00:00:00+00:00,0.065,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-19 00:00:00+00:00,0.034,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-20 00:00:00+00:00,0.0345,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-21 00:00:00+00:00,0.0325,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-22 00:00:00+00:00,0.0335,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-23 00:00:00+00:00,0.0225,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-24 00:00:00+00:00,0.022,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-25 00:00:00+00:00,0.0215,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-26 00:00:00+00:00,0.0205,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-27 00:00:00+00:00,0.0155,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-28 00:00:00+00:00,0.0155,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-02-29 00:00:00+00:00,0.0105,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-01 00:00:00+00:00,0.0105,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-02 00:00:00+00:00,0.01,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-03 00:00:00+00:00,0.012,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-04 00:00:00+00:00,0.012,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-05 00:00:00+00:00,0.01,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-06 00:00:00+00:00,0.0135,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-07 00:00:00+00:00,0.0135,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-08 00:00:00+00:00,0.0135,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-09 00:00:00+00:00,0.014,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-10 00:00:00+00:00,0.013,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-11 00:00:00+00:00,0.0115,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-12 00:00:00+00:00,0.0115,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-13 00:00:00+00:00,0.0095,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-14 00:00:00+00:00,0.0115,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-15 00:00:00+00:00,0.0115,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-16 00:00:00+00:00,0.0105,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-17 00:00:00+00:00,0.0075,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-18 00:00:00+00:00,0.0075,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-19 00:00:00+00:00,0.0075,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-20 00:00:00+00:00,0.0085,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-21 00:00:00+00:00,0.008,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-22 00:00:00+00:00,0.0065,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-23 00:00:00+00:00,0.0055,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-24 00:00:00+00:00,0.004,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-25 00:00:00+00:00,0.005,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-26 00:00:00+00:00,0.005,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-27 00:00:00+00:00,0.005,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-28 00:00:00+00:00,0.005,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-29 00:00:00+00:00,0.0045,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-30 00:00:00+00:00,0.004,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-03-31 00:00:00+00:00,0.004,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
2024-04-01 00:00:00+00:00,0.0035,ethereum-etf-approved-by-end-of-march,Ethereum ETF approved by end of March?
