date,price,slug,question
2024-01-10 00:00:00+00:00,0.755,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-11 00:00:00+00:00,0.72,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-12 00:00:00+00:00,0.645,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-13 00:00:00+00:00,0.555,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-14 00:00:00+00:00,0.5,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-15 00:00:00+00:00,0.545,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-16 00:00:00+00:00,0.55,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-17 00:00:00+00:00,0.455,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-18 00:00:00+00:00,0.525,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-19 00:00:00+00:00,0.535,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-20 00:00:00+00:00,0.585,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-21 00:00:00+00:00,0.585,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-22 00:00:00+00:00,0.585,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-23 00:00:00+00:00,0.54,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-24 00:00:00+00:00,0.53,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-25 00:00:00+00:00,0.5,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-26 00:00:00+00:00,0.505,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-27 00:00:00+00:00,0.455,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-28 00:00:00+00:00,0.47,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-29 00:00:00+00:00,0.48,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-30 00:00:00+00:00,0.445,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-01-31 00:00:00+00:00,0.475,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-01 00:00:00+00:00,0.485,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-02 00:00:00+00:00,0.485,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-03 00:00:00+00:00,0.465,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-04 00:00:00+00:00,0.405,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-05 00:00:00+00:00,0.4,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-06 00:00:00+00:00,0.415,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-07 00:00:00+00:00,0.42,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-08 00:00:00+00:00,0.425,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-09 00:00:00+00:00,0.425,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-10 00:00:00+00:00,0.47,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-11 00:00:00+00:00,0.475,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-12 00:00:00+00:00,0.465,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-13 00:00:00+00:00,0.485,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-14 00:00:00+00:00,0.475,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-15 00:00:00+00:00,0.42,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-16 00:00:00+00:00,0.395,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-17 00:00:00+00:00,0.395,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-18 00:00:00+00:00,0.385,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-19 00:00:00+00:00,0.385,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-20 00:00:00+00:00,0.455,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-21 00:00:00+00:00,0.465,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-22 00:00:00+00:00,0.465,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-23 00:00:00+00:00,0.41,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-24 00:00:00+00:00,0.41,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-25 00:00:00+00:00,0.435,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-26 00:00:00+00:00,0.435,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-27 00:00:00+00:00,0.425,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-28 00:00:00+00:00,0.445,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-02-29 00:00:00+00:00,0.44,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-01 00:00:00+00:00,0.445,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-02 00:00:00+00:00,0.445,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-03 00:00:00+00:00,0.445,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-04 00:00:00+00:00,0.445,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-05 00:00:00+00:00,0.435,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-06 00:00:00+00:00,0.425,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-07 00:00:00+00:00,0.38,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-08 00:00:00+00:00,0.375,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-09 00:00:00+00:00,0.355,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-10 00:00:00+00:00,0.345,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-11 00:00:00+00:00,0.235,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
2024-03-12 00:00:00+00:00,0.31,ethereum-etf-approved-by-may-31,Ethereum ETF approved by May 31?
