date,price,slug,question
2023-12-13 00:00:00+00:00,0.055,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-14 00:00:00+00:00,0.055,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-15 00:00:00+00:00,0.045,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-16 00:00:00+00:00,0.045,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-17 00:00:00+00:00,0.04,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-18 00:00:00+00:00,0.04,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-19 00:00:00+00:00,0.035,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-20 00:00:00+00:00,0.025,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-21 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-22 00:00:00+00:00,0.0405,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-23 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-24 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-25 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-26 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-27 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-28 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-29 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-30 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2023-12-31 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2024-01-01 00:00:00+00:00,0.0455,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2024-01-02 00:00:00+00:00,0.045,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2024-01-03 00:00:00+00:00,0.0405,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2024-01-04 00:00:00+00:00,0.0755,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2024-01-05 00:00:00+00:00,0.255,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
2024-01-06 00:00:00+00:00,0.15,ethereum-spot-etf-approved-by-jan-31,Ethereum spot ETF approved by Jan 31?
