date,price,slug,question
2024-01-04 00:00:00+00:00,0.5,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-05 00:00:00+00:00,0.515,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-06 00:00:00+00:00,0.585,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-07 00:00:00+00:00,0.59,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-08 00:00:00+00:00,0.645,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-09 00:00:00+00:00,0.65,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-10 00:00:00+00:00,0.5,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-11 00:00:00+00:00,0.575,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-12 00:00:00+00:00,0.705,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-13 00:00:00+00:00,0.73,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-14 00:00:00+00:00,0.605,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-15 00:00:00+00:00,0.775,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-16 00:00:00+00:00,0.215,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-17 00:00:00+00:00,0.405,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-18 00:00:00+00:00,0.41,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-19 00:00:00+00:00,0.445,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-20 00:00:00+00:00,0.75,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-21 00:00:00+00:00,0.69,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-22 00:00:00+00:00,0.675,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-23 00:00:00+00:00,0.675,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-24 00:00:00+00:00,0.675,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-25 00:00:00+00:00,0.665,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-26 00:00:00+00:00,0.715,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-27 00:00:00+00:00,0.545,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-28 00:00:00+00:00,0.545,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-29 00:00:00+00:00,0.545,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-30 00:00:00+00:00,0.405,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-01-31 00:00:00+00:00,0.405,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
2024-02-01 00:00:00+00:00,0.41,ethereum-spot-etf-approved-by-june-30,Ethereum spot ETF approved by June 30?
