date,price,slug,question
2023-12-19 00:00:00+00:00,0.205,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-20 00:00:00+00:00,0.16,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-21 00:00:00+00:00,0.185,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-22 00:00:00+00:00,0.175,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-23 00:00:00+00:00,0.18,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-24 00:00:00+00:00,0.55,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-25 00:00:00+00:00,0.51,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-26 00:00:00+00:00,0.37,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-27 00:00:00+00:00,0.36,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-28 00:00:00+00:00,0.335,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-29 00:00:00+00:00,0.32,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-30 00:00:00+00:00,0.345,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2023-12-31 00:00:00+00:00,0.345,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-01 00:00:00+00:00,0.345,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-02 00:00:00+00:00,0.34,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-03 00:00:00+00:00,0.3,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-04 00:00:00+00:00,0.3,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-05 00:00:00+00:00,0.34,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-06 00:00:00+00:00,0.36,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-07 00:00:00+00:00,0.345,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-08 00:00:00+00:00,0.4,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-09 00:00:00+00:00,0.35,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-10 00:00:00+00:00,0.3,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-11 00:00:00+00:00,0.285,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-12 00:00:00+00:00,0.24,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-13 00:00:00+00:00,0.23,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-14 00:00:00+00:00,0.1,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
2024-01-15 00:00:00+00:00,0.11,ethereum-spot-etf-approved-by-mar-31,Ethereum spot ETF approved by Mar 31?
