date,price,slug,question
2023-12-22 00:00:00+00:00,0.03,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-23 00:00:00+00:00,0.029,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-24 00:00:00+00:00,0.047,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-25 00:00:00+00:00,0.0525,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-26 00:00:00+00:00,0.0525,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-27 00:00:00+00:00,0.046,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-28 00:00:00+00:00,0.053,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-29 00:00:00+00:00,0.0635,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-30 00:00:00+00:00,0.064,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2023-12-31 00:00:00+00:00,0.0615,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-01 00:00:00+00:00,0.054,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-02 00:00:00+00:00,0.0605,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-03 00:00:00+00:00,0.071,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-04 00:00:00+00:00,0.048,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-05 00:00:00+00:00,0.042,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-06 00:00:00+00:00,0.0355,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-07 00:00:00+00:00,0.031,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-08 00:00:00+00:00,0.0295,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-09 00:00:00+00:00,0.034,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-10 00:00:00+00:00,0.0325,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-11 00:00:00+00:00,0.0325,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-12 00:00:00+00:00,0.027,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-13 00:00:00+00:00,0.015,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-14 00:00:00+00:00,0.017,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-15 00:00:00+00:00,0.017,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-16 00:00:00+00:00,0.017,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-17 00:00:00+00:00,0.0155,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-18 00:00:00+00:00,0.013,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-19 00:00:00+00:00,0.0115,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-20 00:00:00+00:00,0.0105,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-21 00:00:00+00:00,0.01,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-22 00:00:00+00:00,0.01,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-23 00:00:00+00:00,0.01,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-24 00:00:00+00:00,0.01,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-25 00:00:00+00:00,0.011,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-26 00:00:00+00:00,0.009,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-27 00:00:00+00:00,0.008,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-28 00:00:00+00:00,0.009,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-29 00:00:00+00:00,0.009,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-30 00:00:00+00:00,0.012,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-01-31 00:00:00+00:00,0.0145,fed-rate-cut-by-january-31,Fed rate cut by January 31?
2024-02-01 00:00:00+00:00,0.0005,fed-rate-cut-by-january-31,Fed rate cut by January 31?
