date,price,slug,question
2024-02-01 00:00:00+00:00,0.5,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-02 00:00:00+00:00,0.9695,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-03 00:00:00+00:00,0.895,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-04 00:00:00+00:00,0.8905,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-05 00:00:00+00:00,0.887,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-06 00:00:00+00:00,0.871,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-07 00:00:00+00:00,0.867,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-08 00:00:00+00:00,0.8595,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-09 00:00:00+00:00,0.8635,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-10 00:00:00+00:00,0.8635,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-11 00:00:00+00:00,0.862,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-12 00:00:00+00:00,0.862,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-13 00:00:00+00:00,0.862,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-14 00:00:00+00:00,0.68,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-15 00:00:00+00:00,0.68,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-16 00:00:00+00:00,0.675,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-17 00:00:00+00:00,0.64,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-18 00:00:00+00:00,0.6575,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-19 00:00:00+00:00,0.6565,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-20 00:00:00+00:00,0.656,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-21 00:00:00+00:00,0.6565,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-22 00:00:00+00:00,0.658,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-23 00:00:00+00:00,0.705,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-24 00:00:00+00:00,0.72,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-25 00:00:00+00:00,0.704,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-26 00:00:00+00:00,0.7135,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-27 00:00:00+00:00,0.703,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-28 00:00:00+00:00,0.657,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-02-29 00:00:00+00:00,0.648,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-03-01 00:00:00+00:00,0.683,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-03-02 00:00:00+00:00,0.675,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-03-03 00:00:00+00:00,0.685,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-03-04 00:00:00+00:00,0.6775,fed-rate-cut-by-june-12,Fed rate cut by June 12?
2024-03-05 00:00:00+00:00,0.6655,fed-rate-cut-by-june-12,Fed rate cut by June 12?
