date,price,slug,question
2023-12-19 00:00:00+00:00,0.435,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-20 00:00:00+00:00,0.42,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-21 00:00:00+00:00,0.4,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-22 00:00:00+00:00,0.435,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-23 00:00:00+00:00,0.475,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-24 00:00:00+00:00,0.535,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-25 00:00:00+00:00,0.54,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-26 00:00:00+00:00,0.555,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-27 00:00:00+00:00,0.565,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-28 00:00:00+00:00,0.545,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-29 00:00:00+00:00,0.545,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-30 00:00:00+00:00,0.555,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2023-12-31 00:00:00+00:00,0.56,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-01 00:00:00+00:00,0.56,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-02 00:00:00+00:00,0.555,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-03 00:00:00+00:00,0.63,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-04 00:00:00+00:00,0.545,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-05 00:00:00+00:00,0.46,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-06 00:00:00+00:00,0.48,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-07 00:00:00+00:00,0.475,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-08 00:00:00+00:00,0.465,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-09 00:00:00+00:00,0.465,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-10 00:00:00+00:00,0.405,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-11 00:00:00+00:00,0.41,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-12 00:00:00+00:00,0.39,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-13 00:00:00+00:00,0.515,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-14 00:00:00+00:00,0.53,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-15 00:00:00+00:00,0.535,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-16 00:00:00+00:00,0.535,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-17 00:00:00+00:00,0.45,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-18 00:00:00+00:00,0.395,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-19 00:00:00+00:00,0.37,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-20 00:00:00+00:00,0.36,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-21 00:00:00+00:00,0.35,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-22 00:00:00+00:00,0.35,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-23 00:00:00+00:00,0.325,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-24 00:00:00+00:00,0.315,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-25 00:00:00+00:00,0.335,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-26 00:00:00+00:00,0.38,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-27 00:00:00+00:00,0.385,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-28 00:00:00+00:00,0.385,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-29 00:00:00+00:00,0.405,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-30 00:00:00+00:00,0.415,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-01-31 00:00:00+00:00,0.355,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-01 00:00:00+00:00,0.245,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-02 00:00:00+00:00,0.245,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-03 00:00:00+00:00,0.135,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-04 00:00:00+00:00,0.135,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-05 00:00:00+00:00,0.125,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-06 00:00:00+00:00,0.085,fed-rate-cut-by-march-20,Fed rate cut by March 20?
2024-02-07 00:00:00+00:00,0.085,fed-rate-cut-by-march-20,Fed rate cut by March 20?
