date,price,slug,question
2023-12-07 00:00:00+00:00,0.605,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-08 00:00:00+00:00,0.63,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-09 00:00:00+00:00,0.62,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-10 00:00:00+00:00,0.605,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-11 00:00:00+00:00,0.615,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-12 00:00:00+00:00,0.605,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-13 00:00:00+00:00,0.575,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-14 00:00:00+00:00,0.675,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-15 00:00:00+00:00,0.755,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-16 00:00:00+00:00,0.755,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-17 00:00:00+00:00,0.745,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-18 00:00:00+00:00,0.745,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-19 00:00:00+00:00,0.785,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-20 00:00:00+00:00,0.785,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-21 00:00:00+00:00,0.785,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-22 00:00:00+00:00,0.785,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-23 00:00:00+00:00,0.82,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-24 00:00:00+00:00,0.83,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-25 00:00:00+00:00,0.84,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-26 00:00:00+00:00,0.84,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-27 00:00:00+00:00,0.84,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-28 00:00:00+00:00,0.84,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-29 00:00:00+00:00,0.825,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-30 00:00:00+00:00,0.83,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2023-12-31 00:00:00+00:00,0.83,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-01 00:00:00+00:00,0.83,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-02 00:00:00+00:00,0.835,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-03 00:00:00+00:00,0.885,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-04 00:00:00+00:00,0.845,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-05 00:00:00+00:00,0.82,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-06 00:00:00+00:00,0.805,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-07 00:00:00+00:00,0.79,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-08 00:00:00+00:00,0.79,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-09 00:00:00+00:00,0.78,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-10 00:00:00+00:00,0.78,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-11 00:00:00+00:00,0.78,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-12 00:00:00+00:00,0.79,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-13 00:00:00+00:00,0.82,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-14 00:00:00+00:00,0.825,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-15 00:00:00+00:00,0.825,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-16 00:00:00+00:00,0.835,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-17 00:00:00+00:00,0.81,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-18 00:00:00+00:00,0.785,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-19 00:00:00+00:00,0.765,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-20 00:00:00+00:00,0.75,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-21 00:00:00+00:00,0.745,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-22 00:00:00+00:00,0.745,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-23 00:00:00+00:00,0.735,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-24 00:00:00+00:00,0.725,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-25 00:00:00+00:00,0.73,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-26 00:00:00+00:00,0.76,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-27 00:00:00+00:00,0.755,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-28 00:00:00+00:00,0.77,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-29 00:00:00+00:00,0.795,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-30 00:00:00+00:00,0.8,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-01-31 00:00:00+00:00,0.785,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-01 00:00:00+00:00,0.735,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-02 00:00:00+00:00,0.75,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-03 00:00:00+00:00,0.645,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-04 00:00:00+00:00,0.635,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-05 00:00:00+00:00,0.635,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-06 00:00:00+00:00,0.58,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-07 00:00:00+00:00,0.595,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-08 00:00:00+00:00,0.585,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-09 00:00:00+00:00,0.6,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-10 00:00:00+00:00,0.585,fed-rate-cut-by-may-1,Fed rate cut by May 1?
2024-02-11 00:00:00+00:00,0.585,fed-rate-cut-by-may-1,Fed rate cut by May 1?
