date,price,slug,question
2023-12-21 00:00:00+00:00,0.735,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-22 00:00:00+00:00,0.54,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-23 00:00:00+00:00,0.65,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-24 00:00:00+00:00,0.625,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-25 00:00:00+00:00,0.625,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-26 00:00:00+00:00,0.625,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-27 00:00:00+00:00,0.625,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-28 00:00:00+00:00,0.61,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-29 00:00:00+00:00,0.61,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-30 00:00:00+00:00,0.615,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2023-12-31 00:00:00+00:00,0.615,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-01 00:00:00+00:00,0.595,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-02 00:00:00+00:00,0.595,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-03 00:00:00+00:00,0.535,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-04 00:00:00+00:00,0.535,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-05 00:00:00+00:00,0.535,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-06 00:00:00+00:00,0.535,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
2024-01-07 00:00:00+00:00,0.59,ftx-claims-worth-75-on-the-dollar-by-end-of-q1,FTX claims worth >75¢ on the dollar by end of Q1?
