date,price,slug,question
2023-11-27 00:00:00+00:00,0.58,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-11-28 00:00:00+00:00,0.515,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-11-29 00:00:00+00:00,0.505,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-11-30 00:00:00+00:00,0.51,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-01 00:00:00+00:00,0.43,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-02 00:00:00+00:00,0.41,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-03 00:00:00+00:00,0.41,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-04 00:00:00+00:00,0.435,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-05 00:00:00+00:00,0.43,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-06 00:00:00+00:00,0.43,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-07 00:00:00+00:00,0.42,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-08 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-09 00:00:00+00:00,0.435,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-10 00:00:00+00:00,0.435,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-11 00:00:00+00:00,0.315,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-12 00:00:00+00:00,0.315,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-13 00:00:00+00:00,0.31,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-14 00:00:00+00:00,0.3,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-15 00:00:00+00:00,0.3,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-16 00:00:00+00:00,0.3,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-17 00:00:00+00:00,0.315,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-18 00:00:00+00:00,0.315,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-19 00:00:00+00:00,0.315,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-20 00:00:00+00:00,0.225,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-21 00:00:00+00:00,0.225,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-22 00:00:00+00:00,0.225,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-23 00:00:00+00:00,0.15,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-24 00:00:00+00:00,0.12,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-25 00:00:00+00:00,0.12,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-26 00:00:00+00:00,0.12,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-27 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-28 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-29 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-30 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2023-12-31 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-01 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-02 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-03 00:00:00+00:00,0.115,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-04 00:00:00+00:00,0.525,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-05 00:00:00+00:00,0.51,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-06 00:00:00+00:00,0.535,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-07 00:00:00+00:00,0.55,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-08 00:00:00+00:00,0.56,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-09 00:00:00+00:00,0.51,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-10 00:00:00+00:00,0.4,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-11 00:00:00+00:00,0.435,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-12 00:00:00+00:00,0.43,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-13 00:00:00+00:00,0.38,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-14 00:00:00+00:00,0.38,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-15 00:00:00+00:00,0.38,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-16 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-17 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-18 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-19 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-20 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-21 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-22 00:00:00+00:00,0.425,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-23 00:00:00+00:00,0.37,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-24 00:00:00+00:00,0.37,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
2024-01-25 00:00:00+00:00,0.37,hamas-command-center-under-al-shifa-hospital,Hamas command center under al-Shifa Hospital?
