date,price,slug,question
2023-12-30 00:00:00+00:00,0.44,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2023-12-31 00:00:00+00:00,0.41,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-01 00:00:00+00:00,0.245,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-02 00:00:00+00:00,0.155,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-03 00:00:00+00:00,0.135,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-04 00:00:00+00:00,0.14,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-05 00:00:00+00:00,0.095,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-06 00:00:00+00:00,0.12,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-07 00:00:00+00:00,0.15,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-08 00:00:00+00:00,0.17,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-09 00:00:00+00:00,0.225,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-10 00:00:00+00:00,0.195,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-11 00:00:00+00:00,0.155,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-12 00:00:00+00:00,0.14,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-13 00:00:00+00:00,0.22,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-14 00:00:00+00:00,0.155,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-15 00:00:00+00:00,0.16,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-16 00:00:00+00:00,0.145,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-17 00:00:00+00:00,0.16,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-18 00:00:00+00:00,0.25,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-19 00:00:00+00:00,0.21,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-20 00:00:00+00:00,0.21,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-21 00:00:00+00:00,0.215,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-22 00:00:00+00:00,0.225,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-23 00:00:00+00:00,0.215,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-24 00:00:00+00:00,0.205,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-25 00:00:00+00:00,0.215,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-26 00:00:00+00:00,0.17,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-27 00:00:00+00:00,0.23,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-28 00:00:00+00:00,0.245,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-29 00:00:00+00:00,0.245,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-30 00:00:00+00:00,0.365,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-01-31 00:00:00+00:00,0.605,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-02-01 00:00:00+00:00,0.52,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
2024-02-02 00:00:00+00:00,0.61,hamas-lose-power-in-gaza-before-february,Hamas lose power in Gaza before February?
