date,price,slug,question
2024-02-22 00:00:00+00:00,0.515,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-23 00:00:00+00:00,0.44,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-24 00:00:00+00:00,0.435,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-25 00:00:00+00:00,0.445,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-26 00:00:00+00:00,0.42,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-27 00:00:00+00:00,0.365,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-28 00:00:00+00:00,0.31,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-02-29 00:00:00+00:00,0.27,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-01 00:00:00+00:00,0.265,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-02 00:00:00+00:00,0.265,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-03 00:00:00+00:00,0.215,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-04 00:00:00+00:00,0.27,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-05 00:00:00+00:00,0.27,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-06 00:00:00+00:00,0.23,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-07 00:00:00+00:00,0.165,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-08 00:00:00+00:00,0.21,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-09 00:00:00+00:00,0.13,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-10 00:00:00+00:00,0.165,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-11 00:00:00+00:00,0.135,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-12 00:00:00+00:00,0.06,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-13 00:00:00+00:00,0.028,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-14 00:00:00+00:00,0.0175,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-15 00:00:00+00:00,0.006,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
2024-03-16 00:00:00+00:00,0.005,israel-ground-offensive-in-rafah-by-march-15,Israel ground offensive in Rafah by March 15?
