date,price,slug,question
2024-02-21 00:00:00+00:00,0.375,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-22 00:00:00+00:00,0.41,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-23 00:00:00+00:00,0.565,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-24 00:00:00+00:00,0.57,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-25 00:00:00+00:00,0.555,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-26 00:00:00+00:00,0.555,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-27 00:00:00+00:00,0.595,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-28 00:00:00+00:00,0.6,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-02-29 00:00:00+00:00,0.55,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-01 00:00:00+00:00,0.595,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-02 00:00:00+00:00,0.525,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-03 00:00:00+00:00,0.485,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-04 00:00:00+00:00,0.47,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-05 00:00:00+00:00,0.34,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-06 00:00:00+00:00,0.27,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-07 00:00:00+00:00,0.195,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-08 00:00:00+00:00,0.135,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-09 00:00:00+00:00,0.145,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-10 00:00:00+00:00,0.075,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
2024-03-11 00:00:00+00:00,0.0105,israel-hamas-hostage-deal-by-ramadan,Israel + Hamas hostage deal by Ramadan? 
