date,price,slug,question
2024-02-23 00:00:00+00:00,0.63,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-02-24 00:00:00+00:00,0.61,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-02-25 00:00:00+00:00,0.755,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-02-26 00:00:00+00:00,0.67,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-02-27 00:00:00+00:00,0.725,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-02-28 00:00:00+00:00,0.75,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-02-29 00:00:00+00:00,0.7,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-01 00:00:00+00:00,0.68,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-02 00:00:00+00:00,0.645,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-03 00:00:00+00:00,0.645,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-04 00:00:00+00:00,0.675,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-05 00:00:00+00:00,0.67,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-06 00:00:00+00:00,0.61,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-07 00:00:00+00:00,0.535,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-08 00:00:00+00:00,0.375,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-09 00:00:00+00:00,0.405,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-10 00:00:00+00:00,0.4,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-11 00:00:00+00:00,0.395,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-12 00:00:00+00:00,0.33,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-13 00:00:00+00:00,0.535,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-14 00:00:00+00:00,0.37,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-15 00:00:00+00:00,0.47,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-16 00:00:00+00:00,0.495,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-17 00:00:00+00:00,0.415,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-18 00:00:00+00:00,0.425,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-19 00:00:00+00:00,0.26,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-20 00:00:00+00:00,0.23,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-21 00:00:00+00:00,0.14,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-22 00:00:00+00:00,0.23,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-23 00:00:00+00:00,0.175,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-24 00:00:00+00:00,0.145,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-25 00:00:00+00:00,0.165,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-26 00:00:00+00:00,0.055,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-27 00:00:00+00:00,0.035,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-28 00:00:00+00:00,0.0255,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-29 00:00:00+00:00,0.038,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-30 00:00:00+00:00,0.03,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-03-31 00:00:00+00:00,0.004,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
2024-04-01 00:00:00+00:00,0.0035,israel-x-hamas-ceasefire-before-april,Israel x Hamas ceasefire before April?
