date,price,slug,question
2024-02-28 00:00:00+00:00,0.55,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-02-29 00:00:00+00:00,0.545,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-01 00:00:00+00:00,0.56,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-02 00:00:00+00:00,0.56,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-03 00:00:00+00:00,0.56,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-04 00:00:00+00:00,0.56,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-05 00:00:00+00:00,0.56,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-06 00:00:00+00:00,0.47,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-07 00:00:00+00:00,0.6,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-08 00:00:00+00:00,0.6,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-09 00:00:00+00:00,0.6,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-10 00:00:00+00:00,0.515,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-11 00:00:00+00:00,0.505,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-12 00:00:00+00:00,0.505,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-13 00:00:00+00:00,0.505,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-14 00:00:00+00:00,0.505,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-15 00:00:00+00:00,0.505,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-16 00:00:00+00:00,0.505,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-17 00:00:00+00:00,0.54,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-18 00:00:00+00:00,0.68,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-19 00:00:00+00:00,0.655,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-20 00:00:00+00:00,0.655,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-21 00:00:00+00:00,0.405,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-22 00:00:00+00:00,0.56,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-23 00:00:00+00:00,0.6,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-24 00:00:00+00:00,0.67,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-25 00:00:00+00:00,0.575,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-26 00:00:00+00:00,0.7,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-27 00:00:00+00:00,0.625,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-28 00:00:00+00:00,0.69,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-29 00:00:00+00:00,0.715,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-30 00:00:00+00:00,0.7,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-03-31 00:00:00+00:00,0.75,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
2024-04-01 00:00:00+00:00,0.9965,istanbul-mayoral-election-2024-will-chp-win,Istanbul Mayoral Election 2024: Will CHP win?
