date,price,slug,question
2024-02-21 00:00:00+00:00,0.075,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-22 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-23 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-24 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-25 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-26 00:00:00+00:00,0.12,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-27 00:00:00+00:00,0.12,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-28 00:00:00+00:00,0.12,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-02-29 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-01 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-02 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-03 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-04 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-05 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-06 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-07 00:00:00+00:00,0.115,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-08 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-09 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-10 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-11 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-12 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-13 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-14 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-15 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-16 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-17 00:00:00+00:00,0.105,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-18 00:00:00+00:00,0.065,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-19 00:00:00+00:00,0.085,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-20 00:00:00+00:00,0.085,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-21 00:00:00+00:00,0.06,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-22 00:00:00+00:00,0.055,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-23 00:00:00+00:00,0.49,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-24 00:00:00+00:00,0.49,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-25 00:00:00+00:00,0.485,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-26 00:00:00+00:00,0.225,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-27 00:00:00+00:00,0.055,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-28 00:00:00+00:00,0.05,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-29 00:00:00+00:00,0.05,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-30 00:00:00+00:00,0.05,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-03-31 00:00:00+00:00,0.05,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
2024-04-01 00:00:00+00:00,0.05,julian-assange-extradited-to-us-before-april,Julian Assange extradited to US before April?
