date,price,slug,question
2023-12-01 00:00:00+00:00,0.665,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-02 00:00:00+00:00,0.395,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-03 00:00:00+00:00,0.475,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-04 00:00:00+00:00,0.33,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-05 00:00:00+00:00,0.49,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-06 00:00:00+00:00,0.49,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-07 00:00:00+00:00,0.49,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-08 00:00:00+00:00,0.495,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-09 00:00:00+00:00,0.6,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-10 00:00:00+00:00,0.595,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-11 00:00:00+00:00,0.6,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-12 00:00:00+00:00,0.6,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-13 00:00:00+00:00,0.6,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-14 00:00:00+00:00,0.6,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-15 00:00:00+00:00,0.725,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-16 00:00:00+00:00,0.54,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-17 00:00:00+00:00,0.5,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-18 00:00:00+00:00,0.48,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-19 00:00:00+00:00,0.465,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-20 00:00:00+00:00,0.445,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-21 00:00:00+00:00,0.445,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-22 00:00:00+00:00,0.44,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-23 00:00:00+00:00,0.24,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-24 00:00:00+00:00,0.445,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-25 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-26 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-27 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-28 00:00:00+00:00,0.545,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-29 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-30 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2023-12-31 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-01 00:00:00+00:00,0.55,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-02 00:00:00+00:00,0.62,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-03 00:00:00+00:00,0.61,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-04 00:00:00+00:00,0.61,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-05 00:00:00+00:00,0.61,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-06 00:00:00+00:00,0.54,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-07 00:00:00+00:00,0.445,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-08 00:00:00+00:00,0.395,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-09 00:00:00+00:00,0.405,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-10 00:00:00+00:00,0.415,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-11 00:00:00+00:00,0.41,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-12 00:00:00+00:00,0.38,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-13 00:00:00+00:00,0.4,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-14 00:00:00+00:00,0.38,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-15 00:00:00+00:00,0.4,layerzero-airdrop-by-april,LayerZero airdrop by April?
2024-01-16 00:00:00+00:00,0.4,layerzero-airdrop-by-april,LayerZero airdrop by April?
