date,price,slug,question
2024-02-09 00:00:00+00:00,0.495,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-10 00:00:00+00:00,0.65,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-11 00:00:00+00:00,0.67,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-12 00:00:00+00:00,0.665,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-13 00:00:00+00:00,0.675,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-14 00:00:00+00:00,0.675,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-15 00:00:00+00:00,0.675,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-16 00:00:00+00:00,0.64,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-17 00:00:00+00:00,0.64,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-18 00:00:00+00:00,0.665,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-19 00:00:00+00:00,0.655,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-20 00:00:00+00:00,0.66,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-21 00:00:00+00:00,0.655,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-22 00:00:00+00:00,0.655,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-23 00:00:00+00:00,0.655,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-24 00:00:00+00:00,0.675,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-25 00:00:00+00:00,0.68,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-26 00:00:00+00:00,0.835,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-27 00:00:00+00:00,0.72,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-28 00:00:00+00:00,0.745,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-02-29 00:00:00+00:00,0.77,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-01 00:00:00+00:00,0.78,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-02 00:00:00+00:00,0.785,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-03 00:00:00+00:00,0.62,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-04 00:00:00+00:00,0.685,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-05 00:00:00+00:00,0.68,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-06 00:00:00+00:00,0.965,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-07 00:00:00+00:00,0.8395,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-08 00:00:00+00:00,0.9,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-09 00:00:00+00:00,0.5,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-10 00:00:00+00:00,0.9045,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-11 00:00:00+00:00,0.9225,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-12 00:00:00+00:00,0.934,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-13 00:00:00+00:00,0.9745,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-14 00:00:00+00:00,0.983,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-15 00:00:00+00:00,0.983,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-16 00:00:00+00:00,0.9785,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-17 00:00:00+00:00,0.976,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-18 00:00:00+00:00,0.9795,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-19 00:00:00+00:00,0.977,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-20 00:00:00+00:00,0.9865,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-21 00:00:00+00:00,0.986,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
2024-03-22 00:00:00+00:00,0.986,more-migrant-encounters-at-border-in-february-compared-to-january,More migrant encounters at border in February compared to January?
