date,price,slug,question
2024-02-08 00:00:00+00:00,0.05,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-09 00:00:00+00:00,0.0275,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-10 00:00:00+00:00,0.0275,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-11 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-12 00:00:00+00:00,0.02,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-13 00:00:00+00:00,0.02,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-14 00:00:00+00:00,0.02,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-15 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-16 00:00:00+00:00,0.023,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-17 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-18 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-19 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-20 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-21 00:00:00+00:00,0.0225,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-22 00:00:00+00:00,0.019,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-23 00:00:00+00:00,0.01,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-24 00:00:00+00:00,0.01,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-25 00:00:00+00:00,0.0125,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-26 00:00:00+00:00,0.0115,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-27 00:00:00+00:00,0.0115,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-28 00:00:00+00:00,0.0115,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-02-29 00:00:00+00:00,0.013,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-01 00:00:00+00:00,0.011,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-02 00:00:00+00:00,0.011,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-03 00:00:00+00:00,0.0125,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-04 00:00:00+00:00,0.0125,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-05 00:00:00+00:00,0.0125,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-06 00:00:00+00:00,0.4995,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-07 00:00:00+00:00,0.4995,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-08 00:00:00+00:00,0.0055,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-09 00:00:00+00:00,0.0055,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-10 00:00:00+00:00,0.0055,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-11 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-12 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-13 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-14 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-15 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-16 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-17 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-18 00:00:00+00:00,0.006,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-19 00:00:00+00:00,0.011,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-20 00:00:00+00:00,0.011,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-21 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-22 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-23 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-24 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-25 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-26 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-27 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-28 00:00:00+00:00,0.1255,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-29 00:00:00+00:00,0.1105,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-30 00:00:00+00:00,0.11,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-03-31 00:00:00+00:00,0.11,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-04-01 00:00:00+00:00,0.105,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-04-02 00:00:00+00:00,0.1045,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
2024-04-03 00:00:00+00:00,0.005,no-wormhole-airdrop-before-july,No Wormhole airdrop before July?
