date,price,slug,question
2023-12-29 00:00:00+00:00,0.5,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2023-12-30 00:00:00+00:00,0.515,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2023-12-31 00:00:00+00:00,0.5,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-01 00:00:00+00:00,0.08,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-02 00:00:00+00:00,0.085,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-03 00:00:00+00:00,0.07,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-04 00:00:00+00:00,0.055,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-05 00:00:00+00:00,0.085,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-06 00:00:00+00:00,0.065,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-07 00:00:00+00:00,0.0695,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-08 00:00:00+00:00,0.0995,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-09 00:00:00+00:00,0.0975,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-10 00:00:00+00:00,0.501,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-11 00:00:00+00:00,0.1825,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-12 00:00:00+00:00,0.119,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-13 00:00:00+00:00,0.119,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-14 00:00:00+00:00,0.119,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-15 00:00:00+00:00,0.119,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-16 00:00:00+00:00,0.062,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-17 00:00:00+00:00,0.0625,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-18 00:00:00+00:00,0.0625,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-19 00:00:00+00:00,0.063,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-20 00:00:00+00:00,0.11,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-21 00:00:00+00:00,0.0675,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-22 00:00:00+00:00,0.075,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-23 00:00:00+00:00,0.0765,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-24 00:00:00+00:00,0.0765,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-25 00:00:00+00:00,0.0755,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-26 00:00:00+00:00,0.076,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-27 00:00:00+00:00,0.076,north-korea-nuke-by-march-31,North Korea nuke by March 31?
2024-01-28 00:00:00+00:00,0.0475,north-korea-nuke-by-march-31,North Korea nuke by March 31?
