date,price,slug,question
2024-02-24 00:00:00+00:00,0.165,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-02-25 00:00:00+00:00,0.125,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-02-26 00:00:00+00:00,0.115,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-02-27 00:00:00+00:00,0.12,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-02-28 00:00:00+00:00,0.125,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-02-29 00:00:00+00:00,0.125,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-01 00:00:00+00:00,0.115,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-02 00:00:00+00:00,0.115,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-03 00:00:00+00:00,0.085,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-04 00:00:00+00:00,0.195,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-05 00:00:00+00:00,0.22,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-06 00:00:00+00:00,0.15,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-07 00:00:00+00:00,0.205,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-08 00:00:00+00:00,0.345,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-09 00:00:00+00:00,0.32,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-10 00:00:00+00:00,0.3,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-11 00:00:00+00:00,0.31,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-12 00:00:00+00:00,0.265,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-13 00:00:00+00:00,0.28,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-14 00:00:00+00:00,0.335,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-15 00:00:00+00:00,0.33,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-16 00:00:00+00:00,0.34,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-17 00:00:00+00:00,0.325,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-18 00:00:00+00:00,0.325,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-19 00:00:00+00:00,0.61,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-20 00:00:00+00:00,0.36,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-21 00:00:00+00:00,0.295,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-22 00:00:00+00:00,0.285,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-23 00:00:00+00:00,0.3,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-24 00:00:00+00:00,0.295,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-25 00:00:00+00:00,0.305,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-26 00:00:00+00:00,0.375,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-27 00:00:00+00:00,0.33,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-28 00:00:00+00:00,0.265,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
2024-03-29 00:00:00+00:00,0.21,nvidia-flips-apple-in-market-cap-by-april-30,NVIDIA flips Apple in market cap by April 30?
