date,price,slug,question
2024-02-16 00:00:00+00:00,0.64,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-17 00:00:00+00:00,0.565,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-18 00:00:00+00:00,0.505,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-19 00:00:00+00:00,0.455,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-20 00:00:00+00:00,0.37,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-21 00:00:00+00:00,0.335,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-22 00:00:00+00:00,0.355,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-23 00:00:00+00:00,0.425,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-24 00:00:00+00:00,0.435,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-25 00:00:00+00:00,0.385,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-26 00:00:00+00:00,0.38,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-27 00:00:00+00:00,0.38,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-28 00:00:00+00:00,0.39,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-02-29 00:00:00+00:00,0.39,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-01 00:00:00+00:00,0.39,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-02 00:00:00+00:00,0.395,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-03 00:00:00+00:00,0.415,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-04 00:00:00+00:00,0.435,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-05 00:00:00+00:00,0.44,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-06 00:00:00+00:00,0.43,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-07 00:00:00+00:00,0.43,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-08 00:00:00+00:00,0.43,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-09 00:00:00+00:00,0.305,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-10 00:00:00+00:00,0.345,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-11 00:00:00+00:00,0.335,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-12 00:00:00+00:00,0.295,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-13 00:00:00+00:00,0.255,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-14 00:00:00+00:00,0.14,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-15 00:00:00+00:00,0.23,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-16 00:00:00+00:00,0.23,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-17 00:00:00+00:00,0.23,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-18 00:00:00+00:00,0.225,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-19 00:00:00+00:00,0.14,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-20 00:00:00+00:00,0.18,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-21 00:00:00+00:00,0.18,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-22 00:00:00+00:00,0.175,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-23 00:00:00+00:00,0.17,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-24 00:00:00+00:00,0.17,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-25 00:00:00+00:00,0.165,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-26 00:00:00+00:00,0.17,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-27 00:00:00+00:00,0.175,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-28 00:00:00+00:00,0.19,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-29 00:00:00+00:00,0.36,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-30 00:00:00+00:00,0.29,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-03-31 00:00:00+00:00,0.36,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-04-01 00:00:00+00:00,0.36,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-04-02 00:00:00+00:00,0.175,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-04-03 00:00:00+00:00,0.125,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-04-04 00:00:00+00:00,0.12,openai-sora-public-release-before-may,OpenAI Sora public release before May?
2024-04-05 00:00:00+00:00,0.12,openai-sora-public-release-before-may,OpenAI Sora public release before May?
