date,price,slug,question
2024-03-07 00:00:00+00:00,0.425,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-08 00:00:00+00:00,0.305,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-09 00:00:00+00:00,0.26,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-10 00:00:00+00:00,0.255,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-11 00:00:00+00:00,0.56,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-12 00:00:00+00:00,0.47,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-13 00:00:00+00:00,0.47,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-14 00:00:00+00:00,0.47,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-15 00:00:00+00:00,0.47,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-16 00:00:00+00:00,0.47,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-17 00:00:00+00:00,0.69,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-18 00:00:00+00:00,0.69,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-19 00:00:00+00:00,0.46,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-20 00:00:00+00:00,0.51,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
2024-03-21 00:00:00+00:00,0.96,portugal-legislative-election-will-chega-win-over-18-of-votes,Portugal Legislative Election: Will Chega win over 18% of votes?
