date,price,slug,question
2024-03-07 00:00:00+00:00,0.5,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-08 00:00:00+00:00,0.25,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-09 00:00:00+00:00,0.29,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-10 00:00:00+00:00,0.325,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-11 00:00:00+00:00,0.245,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-12 00:00:00+00:00,0.007,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-13 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-14 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-15 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-16 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-17 00:00:00+00:00,0.0075,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-18 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-19 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-20 00:00:00+00:00,0.008,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
2024-03-21 00:00:00+00:00,0.005,portugal-legislative-election-will-the-socialist-party-ps-win-over-30-of-votes,Portugal Legislative Election: Will the Socialist Party (PS) win over 30% of votes?
