date,price,slug,question
2024-03-07 00:00:00+00:00,0.305,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-08 00:00:00+00:00,0.105,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-09 00:00:00+00:00,0.115,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-10 00:00:00+00:00,0.12,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-11 00:00:00+00:00,0.435,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-12 00:00:00+00:00,0.435,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-13 00:00:00+00:00,0.44,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-14 00:00:00+00:00,0.435,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-15 00:00:00+00:00,0.435,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-16 00:00:00+00:00,0.425,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-17 00:00:00+00:00,0.385,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-18 00:00:00+00:00,0.495,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-19 00:00:00+00:00,0.32,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-20 00:00:00+00:00,0.32,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
2024-03-21 00:00:00+00:00,0.135,portugal-legislative-election-will-the-socialist-party-win-the-most-votes,Portugal Legislative Election: Will the Socialist Party win the most votes?
