date,price,slug,question
2023-11-26 00:00:00+00:00,0.045,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-11-27 00:00:00+00:00,0.034,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-11-28 00:00:00+00:00,0.0325,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-11-29 00:00:00+00:00,0.032,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-11-30 00:00:00+00:00,0.034,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-01 00:00:00+00:00,0.0245,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-02 00:00:00+00:00,0.024,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-03 00:00:00+00:00,0.0245,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-04 00:00:00+00:00,0.025,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-05 00:00:00+00:00,0.057,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-06 00:00:00+00:00,0.058,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-07 00:00:00+00:00,0.053,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-08 00:00:00+00:00,0.043,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-09 00:00:00+00:00,0.043,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-10 00:00:00+00:00,0.0425,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
2023-12-11 00:00:00+00:00,0.0405,respiratory-illness-surge-in-china-declared-a-global-pandemic-by-feb-1,Respiratory illness surge in China declared a global pandemic by Feb 1?
