date,price,slug,question
2024-02-15 00:00:00+00:00,0.05,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-16 00:00:00+00:00,0.045,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-17 00:00:00+00:00,0.045,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-18 00:00:00+00:00,0.0355,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-19 00:00:00+00:00,0.036,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-20 00:00:00+00:00,0.036,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-21 00:00:00+00:00,0.0345,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-22 00:00:00+00:00,0.032,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-23 00:00:00+00:00,0.031,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-24 00:00:00+00:00,0.027,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-25 00:00:00+00:00,0.027,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-26 00:00:00+00:00,0.027,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-27 00:00:00+00:00,0.0255,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-28 00:00:00+00:00,0.0255,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-02-29 00:00:00+00:00,0.025,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-01 00:00:00+00:00,0.0225,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-02 00:00:00+00:00,0.0155,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-03 00:00:00+00:00,0.0155,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-04 00:00:00+00:00,0.0155,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-05 00:00:00+00:00,0.0155,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-06 00:00:00+00:00,0.0155,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-07 00:00:00+00:00,0.0155,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-08 00:00:00+00:00,0.011,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-09 00:00:00+00:00,0.011,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-10 00:00:00+00:00,0.0095,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-11 00:00:00+00:00,0.0125,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-12 00:00:00+00:00,0.014,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-13 00:00:00+00:00,0.014,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-14 00:00:00+00:00,0.0145,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-15 00:00:00+00:00,0.014,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-16 00:00:00+00:00,0.0095,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-17 00:00:00+00:00,0.005,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-18 00:00:00+00:00,0.005,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-19 00:00:00+00:00,0.005,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-20 00:00:00+00:00,0.005,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-21 00:00:00+00:00,0.0055,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-22 00:00:00+00:00,0.004,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-23 00:00:00+00:00,0.0085,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-24 00:00:00+00:00,0.009,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-25 00:00:00+00:00,0.0085,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-26 00:00:00+00:00,0.0085,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-27 00:00:00+00:00,0.009,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-28 00:00:00+00:00,0.0115,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-29 00:00:00+00:00,0.0115,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-30 00:00:00+00:00,0.0115,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-03-31 00:00:00+00:00,0.0115,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
2024-04-01 00:00:00+00:00,0.0115,russian-nuke-in-space-by-march-31,Russian nuke in space by March 31?
