date,price,slug,question
2023-10-05 00:00:00+00:00,0.18,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-06 00:00:00+00:00,0.19,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-07 00:00:00+00:00,0.2,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-08 00:00:00+00:00,0.205,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-09 00:00:00+00:00,0.23,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-10 00:00:00+00:00,0.23,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-11 00:00:00+00:00,0.25,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-12 00:00:00+00:00,0.265,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-13 00:00:00+00:00,0.25,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-14 00:00:00+00:00,0.275,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-15 00:00:00+00:00,0.275,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-16 00:00:00+00:00,0.25,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-17 00:00:00+00:00,0.24,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-18 00:00:00+00:00,0.255,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-19 00:00:00+00:00,0.275,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-20 00:00:00+00:00,0.255,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-21 00:00:00+00:00,0.265,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-22 00:00:00+00:00,0.265,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-23 00:00:00+00:00,0.245,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-24 00:00:00+00:00,0.245,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-25 00:00:00+00:00,0.28,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-26 00:00:00+00:00,0.275,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-27 00:00:00+00:00,0.25,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-28 00:00:00+00:00,0.23,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-29 00:00:00+00:00,0.255,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-30 00:00:00+00:00,0.25,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-10-31 00:00:00+00:00,0.24,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-01 00:00:00+00:00,0.265,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-02 00:00:00+00:00,0.365,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-03 00:00:00+00:00,0.325,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-04 00:00:00+00:00,0.33,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-05 00:00:00+00:00,0.325,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-06 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-07 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-08 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-09 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-10 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-11 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-12 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-13 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-14 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-15 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-16 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-17 00:00:00+00:00,0.32,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-18 00:00:00+00:00,0.315,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-19 00:00:00+00:00,0.315,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-20 00:00:00+00:00,0.315,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-21 00:00:00+00:00,0.315,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-22 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-23 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-24 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-25 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-26 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-27 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-28 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-29 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-11-30 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-01 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-02 00:00:00+00:00,0.3,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-03 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-04 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-05 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-06 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-07 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-08 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-09 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-10 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-11 00:00:00+00:00,0.31,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-12 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-13 00:00:00+00:00,0.305,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-14 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-15 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-16 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-17 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-18 00:00:00+00:00,0.285,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-19 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-20 00:00:00+00:00,0.29,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-21 00:00:00+00:00,0.285,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-22 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-23 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-24 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-25 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-26 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-27 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-28 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-29 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-30 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
2023-12-31 00:00:00+00:00,0.295,sbf-sentenced-to-50-years,SBF sentenced to 50+ years?
