date,price,slug,question
2024-02-23 00:00:00+00:00,0.345,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-02-24 00:00:00+00:00,0.36,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-02-25 00:00:00+00:00,0.355,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-02-26 00:00:00+00:00,0.34,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-02-27 00:00:00+00:00,0.27,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-02-28 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-02-29 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-01 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-02 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-03 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-04 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-05 00:00:00+00:00,0.295,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-06 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-07 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-08 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-09 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-10 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-11 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-12 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-13 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-14 00:00:00+00:00,0.285,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-15 00:00:00+00:00,0.15,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-16 00:00:00+00:00,0.22,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-17 00:00:00+00:00,0.21,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-18 00:00:00+00:00,0.22,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-19 00:00:00+00:00,0.23,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-20 00:00:00+00:00,0.25,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-21 00:00:00+00:00,0.235,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-22 00:00:00+00:00,0.22,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-23 00:00:00+00:00,0.195,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-24 00:00:00+00:00,0.525,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-25 00:00:00+00:00,0.48,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-26 00:00:00+00:00,0.53,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-27 00:00:00+00:00,0.505,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-28 00:00:00+00:00,0.455,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-29 00:00:00+00:00,0.43,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-30 00:00:00+00:00,0.45,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-03-31 00:00:00+00:00,0.485,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-01 00:00:00+00:00,0.485,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-02 00:00:00+00:00,0.485,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-03 00:00:00+00:00,0.555,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-04 00:00:00+00:00,0.575,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-05 00:00:00+00:00,0.515,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-06 00:00:00+00:00,0.48,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
2024-04-07 00:00:00+00:00,0.0005,slovakia-presidential-election-will-ivan-korcok-win,Slovakia Presidential Election: Will Ivan Korčok win?
