date,price,slug,question
2024-02-14 00:00:00+00:00,0.635,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-15 00:00:00+00:00,0.585,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-16 00:00:00+00:00,0.575,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-17 00:00:00+00:00,0.535,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-18 00:00:00+00:00,0.465,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-19 00:00:00+00:00,0.405,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-20 00:00:00+00:00,0.385,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-21 00:00:00+00:00,0.43,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-22 00:00:00+00:00,0.41,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-23 00:00:00+00:00,0.41,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-24 00:00:00+00:00,0.355,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-25 00:00:00+00:00,0.3,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-26 00:00:00+00:00,0.345,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-27 00:00:00+00:00,0.355,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-28 00:00:00+00:00,0.3,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-02-29 00:00:00+00:00,0.31,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-01 00:00:00+00:00,0.335,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-02 00:00:00+00:00,0.285,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-03 00:00:00+00:00,0.24,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-04 00:00:00+00:00,0.205,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-05 00:00:00+00:00,0.24,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-06 00:00:00+00:00,0.23,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-07 00:00:00+00:00,0.73,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-08 00:00:00+00:00,0.575,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-09 00:00:00+00:00,0.64,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-10 00:00:00+00:00,0.635,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-11 00:00:00+00:00,0.63,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-12 00:00:00+00:00,0.54,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-13 00:00:00+00:00,0.63,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
2024-03-14 00:00:00+00:00,0.815,spacex-starship-launch-by-march-15,SpaceX Starship launch by March 15?
