date,price,slug,question
2023-12-13 00:00:00+00:00,0.56,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-14 00:00:00+00:00,0.2,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-15 00:00:00+00:00,0.22,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-16 00:00:00+00:00,0.165,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-17 00:00:00+00:00,0.165,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-18 00:00:00+00:00,0.285,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-19 00:00:00+00:00,0.24,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-20 00:00:00+00:00,0.285,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-21 00:00:00+00:00,0.24,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-22 00:00:00+00:00,0.175,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-23 00:00:00+00:00,0.145,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-24 00:00:00+00:00,0.13,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-25 00:00:00+00:00,0.13,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-26 00:00:00+00:00,0.145,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-27 00:00:00+00:00,0.24,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-28 00:00:00+00:00,0.19,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-29 00:00:00+00:00,0.19,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-30 00:00:00+00:00,0.185,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2023-12-31 00:00:00+00:00,0.185,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-01 00:00:00+00:00,0.23,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-02 00:00:00+00:00,0.23,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-03 00:00:00+00:00,0.23,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-04 00:00:00+00:00,0.23,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-05 00:00:00+00:00,0.23,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-06 00:00:00+00:00,0.23,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-07 00:00:00+00:00,0.19,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-08 00:00:00+00:00,0.15,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-09 00:00:00+00:00,0.15,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-10 00:00:00+00:00,0.25,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-11 00:00:00+00:00,0.25,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-12 00:00:00+00:00,0.5,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-13 00:00:00+00:00,0.75,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-14 00:00:00+00:00,0.245,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-15 00:00:00+00:00,0.245,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-16 00:00:00+00:00,0.245,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-17 00:00:00+00:00,0.2,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-18 00:00:00+00:00,0.175,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-19 00:00:00+00:00,0.175,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-20 00:00:00+00:00,0.275,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-21 00:00:00+00:00,0.275,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-22 00:00:00+00:00,0.25,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-23 00:00:00+00:00,0.175,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-24 00:00:00+00:00,0.18,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-25 00:00:00+00:00,0.16,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-26 00:00:00+00:00,0.26,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-27 00:00:00+00:00,0.25,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-28 00:00:00+00:00,0.215,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-29 00:00:00+00:00,0.255,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-30 00:00:00+00:00,0.225,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-01-31 00:00:00+00:00,0.215,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-01 00:00:00+00:00,0.205,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-02 00:00:00+00:00,0.205,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-03 00:00:00+00:00,0.205,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-04 00:00:00+00:00,0.205,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-05 00:00:00+00:00,0.205,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-06 00:00:00+00:00,0.17,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-07 00:00:00+00:00,0.175,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-08 00:00:00+00:00,0.175,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-09 00:00:00+00:00,0.165,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-10 00:00:00+00:00,0.165,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-11 00:00:00+00:00,0.165,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-12 00:00:00+00:00,0.165,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-13 00:00:00+00:00,0.135,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-14 00:00:00+00:00,0.125,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-15 00:00:00+00:00,0.13,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-16 00:00:00+00:00,0.125,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-17 00:00:00+00:00,0.115,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-18 00:00:00+00:00,0.11,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-19 00:00:00+00:00,0.105,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-20 00:00:00+00:00,0.105,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-21 00:00:00+00:00,0.095,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-22 00:00:00+00:00,0.095,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-23 00:00:00+00:00,0.085,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-24 00:00:00+00:00,0.075,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-25 00:00:00+00:00,0.075,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-26 00:00:00+00:00,0.065,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-27 00:00:00+00:00,0.065,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-28 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-02-29 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-01 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-02 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-03 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-04 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-05 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-06 00:00:00+00:00,0.055,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-07 00:00:00+00:00,0.05,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-08 00:00:00+00:00,0.037,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-09 00:00:00+00:00,0.037,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-10 00:00:00+00:00,0.031,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
2024-03-11 00:00:00+00:00,0.032,taylor-swift-engaged-by-april-1,Taylor Swift engaged by April 1?
