date,price,slug,question
2024-02-21 00:00:00+00:00,0.45,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-22 00:00:00+00:00,0.505,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-23 00:00:00+00:00,0.525,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-24 00:00:00+00:00,0.565,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-25 00:00:00+00:00,0.555,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-26 00:00:00+00:00,0.545,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-27 00:00:00+00:00,0.605,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-28 00:00:00+00:00,0.64,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-02-29 00:00:00+00:00,0.58,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-01 00:00:00+00:00,0.615,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-02 00:00:00+00:00,0.6,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-03 00:00:00+00:00,0.595,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-04 00:00:00+00:00,0.42,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-05 00:00:00+00:00,0.455,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-06 00:00:00+00:00,0.405,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-07 00:00:00+00:00,0.455,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-08 00:00:00+00:00,0.415,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-09 00:00:00+00:00,0.405,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-10 00:00:00+00:00,0.31,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-11 00:00:00+00:00,0.36,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-12 00:00:00+00:00,0.325,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-13 00:00:00+00:00,0.285,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-14 00:00:00+00:00,0.18,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-15 00:00:00+00:00,0.12,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-16 00:00:00+00:00,0.13,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-17 00:00:00+00:00,0.09,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-18 00:00:00+00:00,0.085,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-19 00:00:00+00:00,0.045,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-20 00:00:00+00:00,0.035,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-21 00:00:00+00:00,0.0145,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-22 00:00:00+00:00,0.0135,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-23 00:00:00+00:00,0.0135,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-24 00:00:00+00:00,0.0135,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-25 00:00:00+00:00,0.013,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-26 00:00:00+00:00,0.008,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-27 00:00:00+00:00,0.007,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-28 00:00:00+00:00,0.006,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-29 00:00:00+00:00,0.0035,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-30 00:00:00+00:00,0.0055,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-03-31 00:00:00+00:00,0.0055,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
2024-04-01 00:00:00+00:00,0.0055,ukraine-aid-package-by-march-31,Ukraine aid package by March 31?
