date,price,slug,question
2023-12-14 00:00:00+00:00,0.625,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-15 00:00:00+00:00,0.625,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-16 00:00:00+00:00,0.605,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-17 00:00:00+00:00,0.61,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-18 00:00:00+00:00,0.615,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-19 00:00:00+00:00,0.605,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-20 00:00:00+00:00,0.58,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-21 00:00:00+00:00,0.595,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-22 00:00:00+00:00,0.595,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-23 00:00:00+00:00,0.595,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-24 00:00:00+00:00,0.525,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-25 00:00:00+00:00,0.505,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-26 00:00:00+00:00,0.505,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-27 00:00:00+00:00,0.5,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-28 00:00:00+00:00,0.495,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-29 00:00:00+00:00,0.475,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-30 00:00:00+00:00,0.475,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2023-12-31 00:00:00+00:00,0.47,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
2024-01-01 00:00:00+00:00,0.46,us-call-for-gaza-ceasefire-before-february,US call for Gaza ceasefire before February?
