date,price,slug,question
2023-12-13 00:00:00+00:00,0.26,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-14 00:00:00+00:00,0.26,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-15 00:00:00+00:00,0.21,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-16 00:00:00+00:00,0.5,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-17 00:00:00+00:00,0.25,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-18 00:00:00+00:00,0.25,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-19 00:00:00+00:00,0.25,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-20 00:00:00+00:00,0.385,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-21 00:00:00+00:00,0.39,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-22 00:00:00+00:00,0.4,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-23 00:00:00+00:00,0.415,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-24 00:00:00+00:00,0.405,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-25 00:00:00+00:00,0.68,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-26 00:00:00+00:00,0.685,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-27 00:00:00+00:00,0.685,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-28 00:00:00+00:00,0.685,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-29 00:00:00+00:00,0.685,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-30 00:00:00+00:00,0.42,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2023-12-31 00:00:00+00:00,0.42,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-01 00:00:00+00:00,0.42,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-02 00:00:00+00:00,0.415,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-03 00:00:00+00:00,0.415,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-04 00:00:00+00:00,0.44,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-05 00:00:00+00:00,0.43,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-06 00:00:00+00:00,0.415,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-07 00:00:00+00:00,0.415,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-08 00:00:00+00:00,0.41,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-09 00:00:00+00:00,0.415,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-10 00:00:00+00:00,0.455,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
2024-01-11 00:00:00+00:00,0.455,us-inflation-0pt2-from-nov-to-dec-2023,US inflation >0.2% from Nov to Dec 2023?
