date,price,slug,question
2023-10-21 00:00:00+00:00,0.5,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-22 00:00:00+00:00,0.19,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-23 00:00:00+00:00,0.175,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-24 00:00:00+00:00,0.175,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-25 00:00:00+00:00,0.175,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-26 00:00:00+00:00,0.175,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-27 00:00:00+00:00,0.175,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-28 00:00:00+00:00,0.575,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-29 00:00:00+00:00,0.575,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-30 00:00:00+00:00,0.575,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-10-31 00:00:00+00:00,0.325,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-01 00:00:00+00:00,0.4,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-02 00:00:00+00:00,0.575,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-03 00:00:00+00:00,0.575,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-04 00:00:00+00:00,0.225,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-05 00:00:00+00:00,0.225,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-06 00:00:00+00:00,0.225,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-07 00:00:00+00:00,0.225,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-08 00:00:00+00:00,0.225,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-09 00:00:00+00:00,0.19,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-10 00:00:00+00:00,0.19,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-11 00:00:00+00:00,0.19,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-12 00:00:00+00:00,0.105,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-13 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-14 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-15 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-16 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-17 00:00:00+00:00,0.105,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-18 00:00:00+00:00,0.105,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-19 00:00:00+00:00,0.105,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-20 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-21 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-22 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-23 00:00:00+00:00,0.1,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-24 00:00:00+00:00,0.105,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-25 00:00:00+00:00,0.11,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
2023-11-26 00:00:00+00:00,0.11,venezuela-oil-production-1-million-barrelsday-by-q1-2024,Venezuela oil production >1 million barrels/day by Q1 2024?
