date,price,slug,question
2024-01-03 00:00:00+00:00,0.665,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-04 00:00:00+00:00,0.605,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-05 00:00:00+00:00,0.62,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-06 00:00:00+00:00,0.645,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-07 00:00:00+00:00,0.59,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-08 00:00:00+00:00,0.525,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-09 00:00:00+00:00,0.485,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-10 00:00:00+00:00,0.395,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-11 00:00:00+00:00,0.54,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-12 00:00:00+00:00,0.71,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
2024-01-13 00:00:00+00:00,0.585,who-will-get-more-votes-in-taiwan-election-hou-yu-ih-or-ko-wen-je,Who will get more votes in Taiwan Election: Hou Yu-ih (侯友宜) or Ko Wen-je (柯文哲)?
