date,price,slug,question
2023-12-28 00:00:00+00:00,0.5,wif-all-time-high-before-february,$WIF all time high before February?
2023-12-29 00:00:00+00:00,0.25,wif-all-time-high-before-february,$WIF all time high before February?
2023-12-30 00:00:00+00:00,0.35,wif-all-time-high-before-february,$WIF all time high before February?
2023-12-31 00:00:00+00:00,0.29,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-01 00:00:00+00:00,0.3,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-02 00:00:00+00:00,0.235,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-03 00:00:00+00:00,0.21,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-04 00:00:00+00:00,0.065,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-05 00:00:00+00:00,0.15,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-06 00:00:00+00:00,0.27,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-07 00:00:00+00:00,0.265,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-08 00:00:00+00:00,0.26,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-09 00:00:00+00:00,0.29,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-10 00:00:00+00:00,0.5,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-11 00:00:00+00:00,0.26,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-12 00:00:00+00:00,0.58,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-13 00:00:00+00:00,0.23,wif-all-time-high-before-february,$WIF all time high before February?
2024-01-14 00:00:00+00:00,0.385,wif-all-time-high-before-february,$WIF all time high before February?
