date,price,slug,question
2023-10-20 00:00:00+00:00,0.51,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-21 00:00:00+00:00,0.225,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-22 00:00:00+00:00,0.335,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-23 00:00:00+00:00,0.37,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-24 00:00:00+00:00,0.375,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-25 00:00:00+00:00,0.37,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-26 00:00:00+00:00,0.38,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-27 00:00:00+00:00,0.4,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-28 00:00:00+00:00,0.33,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-29 00:00:00+00:00,0.365,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-30 00:00:00+00:00,0.385,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-10-31 00:00:00+00:00,0.41,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-01 00:00:00+00:00,0.41,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-02 00:00:00+00:00,0.425,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-03 00:00:00+00:00,0.43,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-04 00:00:00+00:00,0.43,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-05 00:00:00+00:00,0.395,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-06 00:00:00+00:00,0.4,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-07 00:00:00+00:00,0.45,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-08 00:00:00+00:00,0.45,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-09 00:00:00+00:00,0.435,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-10 00:00:00+00:00,0.445,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-11 00:00:00+00:00,0.445,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-12 00:00:00+00:00,0.435,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
2023-11-13 00:00:00+00:00,0.435,will-ai-be-the-2023-time-person-of-the-year,Will AI be the 2023 TIME Person of the Year?
