date,price,slug,question
2023-12-21 00:00:00+00:00,0.375,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-22 00:00:00+00:00,0.4,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-23 00:00:00+00:00,0.405,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-24 00:00:00+00:00,0.65,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-25 00:00:00+00:00,0.65,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-26 00:00:00+00:00,0.65,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-27 00:00:00+00:00,0.4,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-28 00:00:00+00:00,0.4,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-29 00:00:00+00:00,0.565,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-30 00:00:00+00:00,0.71,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2023-12-31 00:00:00+00:00,0.71,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-01 00:00:00+00:00,0.705,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-02 00:00:00+00:00,0.705,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-03 00:00:00+00:00,0.66,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-04 00:00:00+00:00,0.66,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-05 00:00:00+00:00,0.7,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-06 00:00:00+00:00,0.715,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-07 00:00:00+00:00,0.715,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-08 00:00:00+00:00,0.695,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-09 00:00:00+00:00,0.645,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-10 00:00:00+00:00,0.655,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-11 00:00:00+00:00,0.645,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-12 00:00:00+00:00,0.62,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-13 00:00:00+00:00,0.585,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-14 00:00:00+00:00,0.51,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-15 00:00:00+00:00,0.465,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-16 00:00:00+00:00,0.465,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-17 00:00:00+00:00,0.475,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-18 00:00:00+00:00,0.375,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
2024-01-19 00:00:00+00:00,0.315,will-another-state-disqualify-trump-from-ballot-by-jan-31,Will another state court disqualify Trump from ballot by Jan 31?
