date,price,slug,question
2024-02-16 00:00:00+00:00,0.16,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-17 00:00:00+00:00,0.175,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-18 00:00:00+00:00,0.175,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-19 00:00:00+00:00,0.175,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-20 00:00:00+00:00,0.175,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-21 00:00:00+00:00,0.16,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-22 00:00:00+00:00,0.155,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-23 00:00:00+00:00,0.155,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-24 00:00:00+00:00,0.155,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-25 00:00:00+00:00,0.155,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-26 00:00:00+00:00,0.155,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-27 00:00:00+00:00,0.105,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-28 00:00:00+00:00,0.095,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-02-29 00:00:00+00:00,0.095,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-01 00:00:00+00:00,0.085,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-02 00:00:00+00:00,0.045,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-03 00:00:00+00:00,0.045,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-04 00:00:00+00:00,0.034,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-05 00:00:00+00:00,0.0335,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-06 00:00:00+00:00,0.0335,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-07 00:00:00+00:00,0.0345,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-08 00:00:00+00:00,0.0335,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-09 00:00:00+00:00,0.034,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-10 00:00:00+00:00,0.0375,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-11 00:00:00+00:00,0.047,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-12 00:00:00+00:00,0.047,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-13 00:00:00+00:00,0.0465,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-14 00:00:00+00:00,0.0465,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-15 00:00:00+00:00,0.0465,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-16 00:00:00+00:00,0.045,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-17 00:00:00+00:00,0.043,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-18 00:00:00+00:00,0.0425,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-19 00:00:00+00:00,0.0375,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-20 00:00:00+00:00,0.0615,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-21 00:00:00+00:00,0.061,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-22 00:00:00+00:00,0.0545,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-23 00:00:00+00:00,0.052,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-24 00:00:00+00:00,0.05,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-25 00:00:00+00:00,0.05,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-26 00:00:00+00:00,0.041,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-27 00:00:00+00:00,0.028,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-28 00:00:00+00:00,0.033,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-29 00:00:00+00:00,0.0325,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-30 00:00:00+00:00,0.011,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-03-31 00:00:00+00:00,0.0055,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
2024-04-01 00:00:00+00:00,0.0035,will-azerbaijan-invade-armenia-before-april,Will Azerbaijan invade Armenia before April?
