date,price,slug,question
2023-12-13 00:00:00+00:00,0.335,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-14 00:00:00+00:00,0.335,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-15 00:00:00+00:00,0.335,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-16 00:00:00+00:00,0.31,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-17 00:00:00+00:00,0.175,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-18 00:00:00+00:00,0.585,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-19 00:00:00+00:00,0.55,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-20 00:00:00+00:00,0.55,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-21 00:00:00+00:00,0.8,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-22 00:00:00+00:00,0.65,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-23 00:00:00+00:00,0.795,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-24 00:00:00+00:00,0.75,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-25 00:00:00+00:00,0.75,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-26 00:00:00+00:00,0.82,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-27 00:00:00+00:00,0.21,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-28 00:00:00+00:00,0.21,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-29 00:00:00+00:00,0.06,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
2023-12-30 00:00:00+00:00,0.06,will-brock-purdy-win-nfl-mvp-for-the-2023-24-season,Will Brock Purdy win NFL MVP for the 2023-24 season?
