date,price,slug,question
2023-12-27 00:00:00+00:00,0.51,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2023-12-28 00:00:00+00:00,0.425,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2023-12-29 00:00:00+00:00,0.395,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2023-12-30 00:00:00+00:00,0.355,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2023-12-31 00:00:00+00:00,0.355,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-01 00:00:00+00:00,0.355,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-02 00:00:00+00:00,0.36,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-03 00:00:00+00:00,0.52,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-04 00:00:00+00:00,0.44,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-05 00:00:00+00:00,0.47,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-06 00:00:00+00:00,0.515,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-07 00:00:00+00:00,0.465,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-08 00:00:00+00:00,0.475,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-09 00:00:00+00:00,0.715,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-10 00:00:00+00:00,0.595,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-11 00:00:00+00:00,0.645,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-12 00:00:00+00:00,0.55,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-13 00:00:00+00:00,0.255,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-14 00:00:00+00:00,0.22,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-15 00:00:00+00:00,0.15,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-16 00:00:00+00:00,0.17,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-17 00:00:00+00:00,0.16,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-18 00:00:00+00:00,0.135,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-19 00:00:00+00:00,0.1,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-20 00:00:00+00:00,0.085,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-21 00:00:00+00:00,0.075,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-22 00:00:00+00:00,0.05,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-23 00:00:00+00:00,0.0295,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-24 00:00:00+00:00,0.028,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-25 00:00:00+00:00,0.03,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-26 00:00:00+00:00,0.02,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-27 00:00:00+00:00,0.031,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-28 00:00:00+00:00,0.019,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-29 00:00:00+00:00,0.0215,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-30 00:00:00+00:00,0.011,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-01-31 00:00:00+00:00,0.0065,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
2024-02-01 00:00:00+00:00,0.0005,will-btc-hit-50000-by-jan-31,"Will BTC hit $50,000 by Jan 31?"
