date,price,slug,question
2024-03-21 00:00:00+00:00,0.02,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-22 00:00:00+00:00,0.0255,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-23 00:00:00+00:00,0.021,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-24 00:00:00+00:00,0.0225,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-25 00:00:00+00:00,0.023,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-26 00:00:00+00:00,0.023,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-27 00:00:00+00:00,0.022,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-28 00:00:00+00:00,0.022,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-29 00:00:00+00:00,0.036,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-30 00:00:00+00:00,0.036,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-03-31 00:00:00+00:00,0.032,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-01 00:00:00+00:00,0.032,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-02 00:00:00+00:00,0.0345,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-03 00:00:00+00:00,0.0325,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-04 00:00:00+00:00,0.033,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-05 00:00:00+00:00,0.0335,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-06 00:00:00+00:00,0.0345,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-07 00:00:00+00:00,0.0345,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-08 00:00:00+00:00,0.035,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-09 00:00:00+00:00,0.045,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-10 00:00:00+00:00,0.045,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-11 00:00:00+00:00,0.0455,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
2024-04-12 00:00:00+00:00,0.055,will-dallas-mavericks-be-202324-nba-champions,Will Dallas Mavericks be 2023-24 NBA Champions?
