date,price,slug,question
2024-02-22 00:00:00+00:00,0.2,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-23 00:00:00+00:00,0.325,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-24 00:00:00+00:00,0.335,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-25 00:00:00+00:00,0.345,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-26 00:00:00+00:00,0.315,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-27 00:00:00+00:00,0.295,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-28 00:00:00+00:00,0.285,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-02-29 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-01 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-02 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-03 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-04 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-05 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-06 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-07 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-08 00:00:00+00:00,0.305,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-09 00:00:00+00:00,0.64,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-10 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-11 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-12 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-13 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-14 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-15 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-16 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-17 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-18 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-19 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-20 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-21 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-22 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-23 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-24 00:00:00+00:00,0.5,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-25 00:00:00+00:00,0.33,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-26 00:00:00+00:00,0.33,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-27 00:00:00+00:00,0.33,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-28 00:00:00+00:00,0.33,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-29 00:00:00+00:00,0.33,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-30 00:00:00+00:00,0.325,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-03-31 00:00:00+00:00,0.325,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-04-01 00:00:00+00:00,0.325,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
2024-04-02 00:00:00+00:00,0.325,will-daniel-alegre-change-pfp-by-april-1,Will Daniel Alegre change pfp by April 1?
