date,price,slug,question
2024-01-27 00:00:00+00:00,0.0125,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-01-28 00:00:00+00:00,0.0305,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-01-29 00:00:00+00:00,0.033,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-01-30 00:00:00+00:00,0.0325,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-01-31 00:00:00+00:00,0.0325,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-01 00:00:00+00:00,0.0325,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-02 00:00:00+00:00,0.0325,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-03 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-04 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-05 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-06 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-07 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-08 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-09 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-10 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-11 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-12 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-13 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-14 00:00:00+00:00,0.0205,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-15 00:00:00+00:00,0.016,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-16 00:00:00+00:00,0.02,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-17 00:00:00+00:00,0.0185,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-18 00:00:00+00:00,0.017,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-19 00:00:00+00:00,0.017,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-20 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-21 00:00:00+00:00,0.0175,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-22 00:00:00+00:00,0.0175,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-23 00:00:00+00:00,0.0175,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-24 00:00:00+00:00,0.0175,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-25 00:00:00+00:00,0.0175,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-26 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-27 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-28 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-02-29 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-01 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-02 00:00:00+00:00,0.024,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-03 00:00:00+00:00,0.0135,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-04 00:00:00+00:00,0.0135,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-05 00:00:00+00:00,0.013,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-06 00:00:00+00:00,0.013,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-07 00:00:00+00:00,0.012,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-08 00:00:00+00:00,0.0115,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-09 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-10 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-11 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-12 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-13 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-14 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-15 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-16 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-17 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-18 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-19 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-20 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-21 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-22 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-23 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-24 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-25 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-26 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-27 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-28 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-29 00:00:00+00:00,0.0095,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-30 00:00:00+00:00,0.0095,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-03-31 00:00:00+00:00,0.01,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-01 00:00:00+00:00,0.01,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-02 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-03 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-04 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-05 00:00:00+00:00,0.0055,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-06 00:00:00+00:00,0.003,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-07 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-08 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-09 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-10 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-11 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-12 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-13 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-14 00:00:00+00:00,0.003,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-15 00:00:00+00:00,0.003,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-16 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-17 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-18 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-19 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
2024-04-20 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-april-30-2024,"Will Donald Trump be President of the USA on April 30, 2024?"
