date,price,slug,question
2023-10-13 00:00:00+00:00,0.021,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-14 00:00:00+00:00,0.025,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-15 00:00:00+00:00,0.021,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-16 00:00:00+00:00,0.011,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-17 00:00:00+00:00,0.011,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-18 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-19 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-20 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-21 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-22 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-23 00:00:00+00:00,0.025,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-24 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-25 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-26 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-27 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-28 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-29 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-30 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-10-31 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-01 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-02 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-03 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-04 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-05 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-06 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-07 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-08 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-09 00:00:00+00:00,0.0155,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-10 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-11 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-12 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-13 00:00:00+00:00,0.015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-14 00:00:00+00:00,0.014,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-15 00:00:00+00:00,0.014,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-16 00:00:00+00:00,0.014,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-17 00:00:00+00:00,0.0135,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-18 00:00:00+00:00,0.0135,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-19 00:00:00+00:00,0.0135,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-20 00:00:00+00:00,0.0105,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-21 00:00:00+00:00,0.013,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-22 00:00:00+00:00,0.013,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-23 00:00:00+00:00,0.013,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-24 00:00:00+00:00,0.013,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-25 00:00:00+00:00,0.0115,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-26 00:00:00+00:00,0.0115,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-27 00:00:00+00:00,0.01,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-28 00:00:00+00:00,0.01,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-29 00:00:00+00:00,0.01,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-11-30 00:00:00+00:00,0.011,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-01 00:00:00+00:00,0.011,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-02 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-03 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-04 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-05 00:00:00+00:00,0.0125,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-06 00:00:00+00:00,0.012,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-07 00:00:00+00:00,0.0115,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-08 00:00:00+00:00,0.0115,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-09 00:00:00+00:00,0.0115,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-10 00:00:00+00:00,0.0095,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-11 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-12 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-13 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-14 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-15 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-16 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-17 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-18 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-19 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-20 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-21 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-22 00:00:00+00:00,0.0045,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-23 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-24 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-25 00:00:00+00:00,0.005,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-26 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-27 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-28 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-29 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-30 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2023-12-31 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-01 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-02 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-03 00:00:00+00:00,0.0035,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-04 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-05 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-06 00:00:00+00:00,0.003,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-07 00:00:00+00:00,0.006,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-08 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-09 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-10 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-11 00:00:00+00:00,0.0075,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-12 00:00:00+00:00,0.008,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-13 00:00:00+00:00,0.003,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-14 00:00:00+00:00,0.003,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-15 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-16 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-17 00:00:00+00:00,0.0025,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-18 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-19 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-20 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-21 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-22 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-23 00:00:00+00:00,0.002,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-24 00:00:00+00:00,0.0015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-25 00:00:00+00:00,0.0015,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-26 00:00:00+00:00,0.0065,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-27 00:00:00+00:00,0.004,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-28 00:00:00+00:00,0.004,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-29 00:00:00+00:00,0.004,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-30 00:00:00+00:00,0.004,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
2024-01-31 00:00:00+00:00,0.004,will-donald-trump-be-president-of-the-usa-on-january-31-2024,"Will Donald Trump be President of the USA on January 31, 2024?"
