date,price,slug,question
2024-01-07 00:00:00+00:00,0.755,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-08 00:00:00+00:00,0.765,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-09 00:00:00+00:00,0.755,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-10 00:00:00+00:00,0.745,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-11 00:00:00+00:00,0.65,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-12 00:00:00+00:00,0.66,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-13 00:00:00+00:00,0.67,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-14 00:00:00+00:00,0.7,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-15 00:00:00+00:00,0.695,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-16 00:00:00+00:00,0.675,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-17 00:00:00+00:00,0.775,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-18 00:00:00+00:00,0.875,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-19 00:00:00+00:00,0.905,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-20 00:00:00+00:00,0.935,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-21 00:00:00+00:00,0.945,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-22 00:00:00+00:00,0.969,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-23 00:00:00+00:00,0.9875,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
2024-01-24 00:00:00+00:00,0.9545,will-donald-trump-win-the-new-hampshire-republican-primary,Will Donald Trump win the New Hampshire Republican Primary?
